Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,156"
18-Feb-19,"3,270","3,709",35,0,"2,643","1,382","1,081",0,0,86,313,55,74,54,0,0,0,0,60,48,82,61,165,15,16,0,0,0,52,0,"4,156",299,273,279,290,334,248,273,273,333,264,280,273,171,277,289,"3,128",0,"1,192",998,0,938,7,0,4,3,25,7,14,4,0,0,"19,436"
19-Feb-19,"3,245","3,680",35,0,"2,647","1,381","1,082",0,0,85,312,60,74,54,0,0,0,0,60,47,81,61,165,15,16,0,0,0,52,0,"4,177",303,291,277,295,332,254,273,273,330,263,280,273,171,273,289,"3,127",0,"1,191",998,0,938,7,0,4,3,25,7,14,4,0,0,"19,406"
20-Feb-19,"3,265","3,681",35,0,"2,649","1,346","1,108",0,0,86,333,60,72,54,0,0,0,0,62,46,82,59,166,16,15,0,0,0,57,0,"4,176",302,290,277,295,332,254,273,273,330,263,280,273,171,275,288,"3,129",0,"1,192","1,000",0,937,7,0,4,3,28,7,15,6,0,0,"19,424"
21-Feb-19,"3,250","3,669",34,0,"2,641","1,366","1,104",0,0,86,329,60,71,54,0,0,0,0,65,46,75,63,166,16,13,0,0,0,60,0,"4,230",304,294,276,302,340,264,273,278,336,271,280,278,171,275,288,"3,129",0,"1,192","1,000",0,937,7,0,4,3,28,7,15,6,0,0,"19,458"
22-Feb-19,"3,250","3,674",34,0,"2,651","1,357","1,092",0,0,83,329,58,72,54,0,0,0,0,64,46,73,64,161,16,13,0,0,0,59,0,"4,227",304,292,279,302,340,263,274,278,335,271,279,278,171,274,287,"3,131",0,"1,195",999,0,937,7,0,4,3,29,7,16,6,0,0,"19,452"
23-Feb-19,"3,249","3,674",34,0,"2,650","1,357","1,091",0,0,83,327,58,72,54,0,0,0,0,64,46,73,64,161,16,14,0,0,0,59,0,"4,227",304,292,279,302,340,263,274,278,335,271,279,278,171,274,287,"3,131",0,"1,195",999,0,937,7,0,4,3,29,7,16,6,0,0,"19,449"
24-Feb-19,"3,249","3,674",34,0,"2,651","1,357","1,082",0,0,83,318,58,72,54,0,0,0,0,64,46,73,64,161,16,14,0,0,0,59,0,"4,225",304,292,279,302,340,263,274,278,335,271,279,276,171,274,287,"3,129",0,"1,194",999,0,936,7,0,4,3,29,7,16,6,0,0,"19,437"
25-Feb-19,"3,246","3,651",34,0,"2,656","1,374","1,091",0,0,85,306,62,74,53,0,0,0,0,64,46,75,64,163,15,24,0,0,0,60,0,"4,221",303,292,279,302,340,262,273,279,334,270,280,275,171,274,287,"3,125",0,"1,194",997,0,934,7,0,4,3,31,7,18,6,0,0,"19,436"
26-Feb-19,"3,251","3,653",35,0,"2,659","1,365","1,075",0,0,85,300,62,72,53,0,0,0,0,65,46,74,59,161,15,23,0,0,0,60,0,"4,198",301,288,277,303,338,261,270,278,332,269,280,275,170,271,285,"3,120",0,"1,190",999,0,931,7,0,4,3,31,7,18,6,0,0,"19,394"
27-Feb-19,"3,272","3,637",35,0,"2,657","1,381","1,088",0,0,83,316,62,74,53,0,0,0,0,64,46,73,61,161,15,22,0,0,0,58,0,"4,211",301,293,277,303,336,261,269,280,336,272,280,275,170,270,288,"3,120",0,"1,191",999,0,930,7,0,4,3,31,7,18,6,0,0,"19,439"
28-Feb-19,"3,260","3,630",35,0,"2,658","1,410","1,089",0,0,83,314,61,75,53,0,0,0,0,68,46,70,61,164,16,21,0,0,0,57,0,"4,226",301,291,275,310,334,269,273,281,347,263,280,275,170,269,288,"3,122",0,"1,188",999,0,935,7,0,4,3,31,7,18,6,0,0,"19,468"
Avg Population,"3,249",3700,35,0,2709,1324,1066,0,0,85,302,57,75,52,0,0,0,0,61,47,78,62,159,16,18,0,0,0,54,0,4145,291,291,278,285,334,240,272,277,330,269,279,275,169,272,284,3133,0,1198,997,0,938,7,0,4,3,23,5,14,4,0,0,19392
