Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds                                   (See Note Below),Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,209","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",18,6,6,6,6,,"22,098"
27-Sep-04,"4,813","3,161","2,184","2,012","1,717",91,101,94,101,98,93,96,99,102,89,62,90,219,99,100,83,100,"2,736",248,250,249,250,247,249,248,250,248,250,247,"4,605",957,875,993,788,992,12,5,4,3,5,5,"21,250"
28-Sep-04,"4,821","3,183","2,177","2,012","1,714",91,101,94,102,98,96,95,98,101,89,62,88,221,99,96,83,100,"2,736",247,250,249,250,244,249,250,249,250,250,248,"4,594",956,872,991,786,989,12,5,4,3,5,2,"21,256"
29-Sep-04,"4,812","3,193","2,176","1,987","1,717",91,102,93,102,98,96,95,97,101,92,61,87,221,99,95,87,100,"2,737",248,250,249,249,243,250,250,250,249,250,249,"4,620",958,871,994,803,994,13,6,4,3,5,2,"21,262"
30-Sep-04,"4,805","3,209","2,175","1,985","1,708",91,102,93,102,98,95,95,95,100,92,61,84,220,100,95,87,98,"2,739",248,248,249,249,249,249,250,249,249,250,249,"4,621",957,871,993,807,993,13,6,4,3,5,3,"21,263"
