Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,753","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,553"
19-Apr-12,"3,291","3,138","3,184","2,188","1,541",91,81,84,79,79,78,77,80,91,79,90,92,201,101,81,70,87,"4,274",299,291,280,299,280,279,274,280,339,280,280,280,234,278,301,"4,195",0,"1,360",979,969,887,9,5,3,1,0,5,"21,825"
20-Apr-12,"3,285","3,146","3,183","2,200","1,547",91,85,83,79,79,78,77,82,92,78,88,92,203,99,79,76,86,"4,267",298,293,277,300,280,278,274,280,338,278,280,281,231,278,301,"4,190",0,"1,361",978,967,884,9,5,3,1,0,15,"21,842"
21-Apr-12,"3,281","3,144","3,180","2,200","1,546",91,85,83,79,79,78,77,82,94,78,88,92,203,99,79,73,86,"4,263",298,293,277,300,280,276,274,280,337,278,280,280,231,278,301,"4,188",0,"1,360",978,967,883,9,5,3,1,0,17,"21,828"
22-Apr-12,"3,280","3,141","3,179","2,200","1,545",91,85,83,79,79,78,77,81,94,78,88,92,203,99,79,73,86,"4,259",297,293,277,299,280,276,274,278,337,278,280,280,231,278,301,"4,185",0,"1,358",978,966,883,9,5,3,1,0,18,"21,816"
23-Apr-12,"3,287","3,128","3,175","2,207","1,550",91,84,83,78,78,78,77,80,94,79,88,93,207,101,80,72,87,"4,264",297,293,277,299,279,279,274,279,340,278,279,280,230,280,300,"4,190",0,"1,360",977,972,881,9,5,3,1,0,4,"21,814"
24-Apr-12,"3,281","3,139","3,174","2,209","1,550",92,83,83,78,78,78,77,80,94,77,90,93,207,102,82,69,87,"4,268",302,292,277,301,279,280,274,279,340,279,278,279,228,280,300,"4,195",0,"1,362",976,972,885,9,5,3,1,0,3,"21,828"
25-Apr-12,"3,284","3,128","3,175","2,258","1,548",92,83,83,78,78,76,76,81,94,77,90,92,207,102,82,69,88,"4,273",301,293,280,300,280,280,274,277,340,280,280,280,229,279,300,"4,195",0,"1,362",976,971,886,9,5,3,1,0,3,"21,873"
26-Apr-12,"3,274","3,146","3,169","2,244","1,567",92,86,80,83,87,80,73,81,94,76,91,92,210,102,81,72,87,"4,274",300,294,280,300,279,280,274,279,340,279,280,281,228,280,300,"4,197",0,"1,362",977,970,888,10,6,3,1,0,5,"21,886"
27-Apr-12,"3,294","3,134","3,183","2,242","1,558",92,80,80,83,87,79,72,86,89,73,93,91,210,100,87,70,86,"4,269",300,294,279,295,279,280,275,280,340,278,280,281,228,279,301,"4,196",0,"1,362",975,973,886,10,6,3,1,0,11,"21,897"
