Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
10-Apr-16,"3,353","2,828",32,5,"2,961","1,452","1,187",0,30,75,82,76,42,0,75,20,93,88,85,87,170,27,5,73,89,70,0,"3,410",236,292,239,242,200,199,240,240,259,197,201,199,233,196,237,"3,932",0,"1,120",992,929,891,19,6,9,4,"19,179"
11-Apr-16,"3,350","2,818",31,1,"2,971","1,470","1,201",0,31,81,87,84,23,0,0,76,90,88,85,91,174,32,85,6,97,71,0,"3,404",240,289,238,239,199,199,239,240,258,198,202,200,231,194,238,"3,921",0,"1,112",994,919,896,11,4,5,2,"19,178"
12-Apr-16,"3,350","2,818",31,1,"2,971","1,465","1,201",0,31,81,87,84,23,0,0,76,90,88,85,91,174,32,85,6,97,71,0,"3,404",240,289,238,239,199,199,239,240,258,198,202,200,231,194,238,"3,925",0,"1,113",995,920,897,11,4,5,2,"19,177"
13-Apr-16,"3,350","2,818",31,1,"2,971","1,492","1,201",0,31,81,87,84,23,0,0,76,90,88,85,91,174,32,85,6,97,71,0,"3,413",240,290,239,240,200,200,240,241,259,199,202,200,231,194,238,"3,925",0,"1,113",995,920,897,11,4,5,2,"19,213"
14-Apr-16,"3,350","2,818",31,1,"2,971","1,471","1,201",0,31,81,87,84,23,0,0,76,90,88,85,91,174,32,85,6,97,71,0,"3,409",240,290,239,240,200,200,240,241,259,199,201,199,231,193,237,"3,920",0,"1,112",994,919,895,6,3,3,0,"19,178"
15-Apr-16,"3,350","2,818",31,1,"2,971","1,476","1,201",0,31,81,87,84,23,0,0,76,90,88,85,91,174,32,85,6,97,71,0,"3,409",240,290,239,240,200,200,240,241,259,199,201,199,231,193,237,"3,921",0,"1,112",994,919,896,6,3,3,0,"19,184"
16-Apr-16,"3,350","2,818",31,1,"2,971","1,476","1,201",0,31,81,87,84,23,0,0,76,90,88,85,91,174,32,85,6,97,71,0,"3,406",240,290,239,240,200,200,240,241,259,199,201,198,231,192,236,"3,918",0,"1,111",993,918,896,6,3,3,0,"19,178"
17-Apr-16,"3,350","2,818",31,1,"2,971","1,476","1,201",0,31,81,87,84,23,0,0,76,90,88,85,91,174,32,85,6,97,71,0,"3,400",240,290,239,240,199,199,239,240,258,198,201,198,231,192,236,"3,918",0,"1,111",993,918,896,6,3,3,0,"19,172"
18-Apr-16,"3,349","2,817",30,0,"2,970","1,475","1,195",0,30,80,86,83,22,0,0,75,90,88,85,91,174,32,85,6,97,71,0,"3,400",240,290,239,240,199,199,239,240,258,198,201,198,231,192,236,"3,918",0,"1,111",993,918,896,6,3,3,0,"19,160"
