date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,824",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,408"
1-Jan-16,"3,276",24,"2,799",28,12,"2,706",16,"1,037","1,067",0,46,71,55,66,51,0,47,70,82,78,69,169,0,63,89,57,54,"3,847",0,345,268,257,265,270,244,275,329,266,276,276,225,271,280,"3,921",0,"1,146",997,913,865,10,2,6,2,"18,743"
2-Jan-16,"3,276",24,"2,797",28,11,"2,707",15,"1,037","1,063",0,46,70,55,66,50,0,47,70,82,78,69,169,0,61,89,57,54,"3,846",0,345,268,257,265,270,244,275,328,266,276,276,225,271,280,"3,920",0,"1,146",997,913,864,10,2,6,2,"18,734"
3-Jan-16,"3,276",24,"2,797",28,11,"2,709",14,"1,037","1,062",0,46,70,55,66,50,0,47,70,82,78,69,169,0,60,89,57,54,"3,844",0,344,268,257,265,270,244,275,327,266,276,276,225,271,280,"3,919",0,"1,146",996,913,864,10,2,6,2,"18,731"
4-Jan-16,"3,280",24,"2,789",28,10,"2,700",13,"1,018","1,047",0,44,70,55,64,50,0,46,70,81,73,68,167,0,62,88,55,54,"3,857",0,346,274,257,269,279,244,274,323,263,278,278,224,269,279,"3,911",0,"1,144",996,909,862,11,3,6,2,"18,688"
5-Jan-16,"3,274",23,"2,795",28,14,"2,696",13,"1,007","1,045",0,44,70,55,64,49,0,46,70,80,73,71,166,0,62,87,55,53,"3,855",0,352,274,257,266,279,244,275,320,258,279,278,224,264,285,"3,926",0,"1,142","1,001",913,870,11,3,6,2,"18,687"
6-Jan-16,"3,279",22,"2,780",30,20,"2,702",13,982,"1,063",0,44,70,60,64,49,0,45,74,80,73,71,167,0,64,87,62,53,"3,857",0,351,268,257,266,279,244,275,327,260,280,278,223,265,284,"3,941",0,"1,142","1,000",930,869,11,3,6,2,"18,700"
7-Jan-16,"3,265",21,"2,773",30,20,"2,698",13,978,"1,057",0,42,70,61,63,49,0,39,76,83,75,72,165,0,62,86,61,53,"3,888",0,351,266,264,275,278,244,272,339,260,280,278,233,265,283,"3,941",0,"1,142","1,000",931,868,11,3,6,2,"18,695"
8-Jan-16,"3,264",20,"2,774",30,21,"2,698",13,977,"1,007",0,42,63,55,61,45,0,36,72,82,74,72,154,0,58,86,60,47,"3,899",0,351,268,263,275,278,251,273,338,264,279,279,232,265,283,"3,944",0,"1,141","1,000",935,868,10,2,6,2,"18,657"
9-Jan-16,"3,265",20,"2,774",30,21,"2,698",13,977,"1,004",0,42,63,55,61,45,0,35,72,82,74,72,154,0,56,86,60,47,"3,897",0,351,268,263,275,278,251,272,338,264,279,279,231,265,283,"3,943",0,"1,141","1,000",934,868,10,2,6,2,"18,652"
