date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
19-Apr-15,"3,150",91,"2,412",24,121,"2,436",89,"1,464","1,012",49,45,48,58,42,49,45,43,42,61,81,52,178,88,38,50,43,"4,184",298,352,273,300,263,264,257,259,318,264,269,277,248,259,283,"3,982",0,"1,141",997,954,890,9,4,3,2,"18,974"
20-Apr-15,"3,256",95,"2,388",24,129,"2,439",94,"1,471","1,011",51,45,49,58,41,47,46,43,43,61,79,57,179,81,39,51,41,"4,195",297,350,273,299,263,265,253,260,335,262,271,276,247,259,285,"3,977",0,"1,136",996,954,891,10,5,3,2,"19,089"
21-Apr-15,"3,156",97,"2,427",24,125,"2,341",98,"1,448","1,006",51,45,49,58,41,45,46,41,43,60,79,57,179,81,40,50,41,"4,178",297,347,273,300,258,262,251,262,337,258,269,275,246,258,285,"3,986",0,"1,140",998,958,890,10,5,3,2,"18,896"
22-Apr-15,"3,182",96,"2,379",24,128,"2,438",97,"1,442","1,009",51,45,51,57,41,44,46,39,42,59,85,57,180,81,39,49,43,"4,189",295,348,274,299,258,262,251,267,339,256,266,276,245,267,286,"3,985",0,"1,140",999,959,887,10,5,3,2,"18,979"
23-Apr-15,"3,176",95,"2,376",24,131,"2,454",97,"1,449","1,018",54,43,51,61,41,44,46,39,42,59,81,59,180,81,44,51,42,"4,187",300,346,274,296,258,264,252,263,335,263,269,277,243,263,284,"3,990",0,"1,140",999,958,893,10,5,3,2,"19,007"
24-Apr-15,"3,170",93,"2,404",24,136,"2,455",99,"1,462","1,006",52,41,48,61,41,45,48,36,42,59,77,57,179,86,44,51,39,"4,181",300,347,274,300,259,264,254,260,334,262,267,276,243,257,284,"3,988",0,"1,140",999,958,891,10,5,3,2,"19,028"
25-Apr-15,"3,173",93,"2,411",24,136,"2,455",97,"1,462","1,003",52,41,48,61,41,45,47,36,42,59,77,56,179,86,44,51,38,"4,178",300,345,273,300,259,264,254,260,334,262,267,276,243,257,284,"3,988",0,"1,140",999,958,891,10,5,3,2,"19,030"
26-Apr-15,"3,174",91,"2,413",24,133,"2,455",92,"1,462","1,000",52,41,48,61,41,45,47,35,42,59,77,56,177,86,44,51,38,"4,176",300,345,272,300,259,264,254,260,334,262,266,276,243,257,284,"3,987",0,"1,139",999,958,891,10,5,3,2,"19,017"
27-Apr-15,"3,259",88,"2,410",24,134,"2,362",92,"1,466","1,009",52,43,49,62,41,45,48,37,41,59,78,56,178,85,44,50,41,"4,166",300,342,269,299,259,263,254,260,334,262,266,275,243,257,283,"3,983",0,"1,137",998,958,890,10,5,3,2,"19,003"
