Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,487","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,796"
1-Oct-09,"3,935","3,307","2,715","1,558","1,484",61,73,70,81,76,83,79,63,80,73,87,88,233,92,71,84,90,"3,005",280,265,263,266,260,266,341,267,265,266,266,"5,555",957,"1,359",983,"1,279",977,10,5,3,2,6,8,"21,583"
2-Oct-09,"3,939","3,266","2,728","1,580","1,456",56,72,67,88,74,80,75,54,92,72,85,85,233,91,65,81,86,"3,005",280,265,262,267,260,266,341,267,266,266,265,"5,554",958,"1,358",983,"1,279",976,9,4,3,2,6,56,"21,599"
3-Oct-09,"3,937","3,265","2,725","1,580","1,454",56,72,67,87,74,80,75,54,92,72,85,85,233,91,65,81,85,"3,000",279,264,262,266,260,266,341,267,266,265,264,"5,551",956,"1,358",982,"1,279",976,9,4,3,2,6,56,"21,583"
4-Oct-09,"3,936","3,264","2,725","1,580","1,454",56,72,67,87,74,80,75,54,92,72,85,85,233,91,65,81,85,"2,998",279,264,262,266,260,266,341,267,266,263,264,"5,550",956,"1,358",982,"1,278",976,9,4,3,2,6,56,"21,578"
5-Oct-09,"3,934","3,279","2,727","1,596","1,502",61,73,73,87,76,82,79,60,93,74,90,89,234,92,70,83,86,"3,003",280,264,264,266,260,266,341,267,266,264,265,"5,545",955,"1,358",979,"1,279",974,10,5,3,2,6,9,"21,611"
6-Oct-09,"3,934","3,289","2,731","1,612","1,496",61,72,73,86,73,81,79,60,92,74,87,89,234,93,69,86,87,"3,003",280,264,265,266,259,265,341,267,266,264,266,"5,547",957,"1,362",978,"1,277",973,10,5,3,2,6,9,"21,637"
7-Oct-09,"3,939","3,292","2,738","1,621","1,475",61,73,73,84,71,80,79,59,91,73,85,89,230,89,68,84,86,"3,004",280,266,265,266,260,266,340,266,266,266,263,"5,543",957,"1,359",983,"1,270",974,10,5,3,2,6,11,"21,639"
8-Oct-09,"3,942","3,318","2,735","1,598","1,474",61,73,75,84,69,79,79,59,91,73,87,89,228,89,68,84,86,"3,008",281,266,265,266,260,266,341,265,266,266,266,"5,539",957,"1,356",982,"1,267",977,10,5,3,2,6,11,"21,641"
9-Oct-09,"3,943","3,273","2,722","1,606","1,464",59,68,73,84,68,79,76,58,87,80,83,89,233,85,67,89,86,"3,012",280,265,266,265,261,266,341,267,266,266,269,"5,556",957,"1,358",983,"1,283",975,12,6,4,2,6,32,"21,626"
