date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,492","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,138",294,280,280,280,274,280,330,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,560"
10-Jun-10,"3,504","3,241","3,168","1,529","1,579",69,81,71,76,71,86,97,75,95,85,93,84,235,101,78,92,90,"2,527",233,223,224,224,218,224,285,225,222,224,225,"5,292",901,"1,366",899,"1,180",946,7,2,3,2,6,9,"20,862"
11-Jun-10,"3,487","3,244","3,166","1,520","1,570",67,79,70,78,67,82,91,85,101,84,91,89,234,100,76,91,85,"2,531",235,223,224,224,218,224,285,225,224,224,225,"5,295",900,"1,365",899,"1,180",951,6,1,3,2,6,34,"20,859"
12-Jun-10,"3,485","3,244","3,164","1,520","1,570",67,79,70,78,67,82,91,85,101,84,91,89,234,100,76,91,85,"2,531",235,223,224,224,218,224,285,225,224,224,225,"5,292",899,"1,364",899,"1,179",951,6,1,3,2,6,34,"20,852"
13-Jun-10,"3,484","3,243","3,161","1,520","1,567",67,79,69,78,66,82,90,85,101,84,91,89,234,100,76,91,85,"2,529",235,223,224,224,218,224,285,225,224,223,224,"5,290",898,"1,363",899,"1,179",951,6,1,3,2,6,34,"20,840"
14-Jun-10,"3,478","3,240","3,163","1,550","1,582",70,81,70,79,70,85,87,85,102,85,91,89,235,101,78,91,83,"2,527",235,222,223,224,220,224,283,225,224,224,223,"5,279",900,"1,360",899,"1,171",949,7,2,3,2,6,6,"20,838"
15-Jun-10,"3,479","3,255","3,174","1,539","1,573",69,80,71,79,68,83,87,84,100,83,91,90,235,100,79,91,83,"2,526",234,223,223,224,220,224,282,225,224,225,222,"5,284",900,"1,359",900,"1,174",951,7,2,3,2,6,6,"20,849"
16-Jun-10,"3,499","3,289","3,167","1,522","1,573",69,79,71,79,69,90,87,84,95,80,91,90,237,100,79,91,82,"2,531",234,224,224,224,220,224,283,225,224,225,224,"5,290",902,"1,360",900,"1,177",951,7,2,3,2,6,6,"20,890"
17-Jun-10,"3,506","3,285","3,156","1,517","1,584",75,79,70,79,69,90,91,88,91,88,90,89,236,101,78,89,81,"2,523",235,223,223,224,219,224,279,223,224,225,224,"5,299",901,"1,360",902,"1,184",952,7,2,3,2,6,7,"20,890"
18-Jun-10,"3,476","3,299","3,159","1,526","1,580",72,75,69,85,73,83,88,86,94,86,91,88,234,100,92,85,79,"2,521",232,223,224,224,219,223,283,224,224,225,220,"5,285",900,"1,357",899,"1,182",947,7,2,3,2,6,43,"20,902"
