Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Jan-04,"5,639","3,139","2,117","1,997","1,514",92,77,93,65,66,67,67,102,100,90,45,77,214,102,83,73,101,"2,741",248,249,249,249,250,249,249,249,249,250,250,"3,443",727,994,730,992,15,6,5,4,6,1,"20,612"
2-Jan-04,"5,639","3,137","2,117","1,997","1,513",92,77,92,65,66,67,67,102,100,90,45,77,214,102,83,73,101,"2,741",248,249,249,249,250,249,249,249,249,250,250,"3,443",727,994,730,992,15,6,5,4,6,3,"20,611"
3-Jan-04,"5,638","3,137","2,117","1,997","1,511",92,76,92,65,65,67,67,102,100,90,45,77,214,102,83,73,101,"2,739",248,249,249,249,250,248,249,249,248,250,250,"3,443",727,994,730,992,15,6,5,4,6,3,"20,606"
4-Jan-04,"5,637","3,137","2,114","1,997","1,511",92,76,92,65,65,67,67,102,100,90,45,77,214,102,83,73,101,"2,737",248,247,249,249,250,248,249,249,248,250,250,"3,442",727,993,730,992,15,6,5,4,6,6,"20,602"
5-Jan-04,"5,651","3,133","2,113","1,997","1,510",91,76,95,65,65,67,67,102,99,92,45,76,214,102,81,72,101,"2,733",248,247,248,249,250,247,249,249,247,249,250,"3,438",725,991,733,989,15,6,5,4,6,7,"20,603"
6-Jan-04,"5,653","3,151","2,111","1,997","1,509",91,76,95,65,65,67,67,102,98,92,45,76,214,102,81,72,101,"2,734",248,247,249,248,249,247,248,249,250,250,249,"3,438",726,991,733,988,15,6,5,4,6,4,"20,618"
7-Jan-04,"5,631","3,169","2,104","1,997","1,504",91,75,95,65,65,67,67,102,98,92,45,75,213,102,81,70,101,"2,729",245,247,250,246,248,247,248,249,250,250,249,"3,439",725,991,731,992,15,6,5,4,6,4,"20,598"
8-Jan-04,"5,624","3,176","2,095","1,938","1,502",91,75,95,65,65,67,67,102,96,92,45,75,214,102,81,70,100,"2,726",244,247,250,245,247,248,248,249,249,250,249,"3,435",725,988,730,992,15,6,5,4,6,5,"20,522"
9-Jan-04,"5,599","3,152","2,085","1,938","1,413",82,70,86,60,65,61,64,93,94,86,43,67,211,94,79,66,92,"2,745",251,250,250,248,249,248,249,251,250,249,250,"3,450",733,994,730,993,10,2,5,3,6,110,"20,508"
10-Jan-04,"5,598","3,152","2,086","1,938","1,412",82,70,86,60,65,61,64,93,94,85,43,67,211,94,79,66,92,"2,743",250,250,250,248,249,248,249,250,250,249,250,"3,450",733,994,730,993,10,2,5,3,6,111,"20,506"
11-Jan-04,"5,597","3,153","2,086","1,938","1,412",82,70,86,60,65,61,64,93,94,86,42,67,211,94,79,66,92,"2,743",250,250,250,248,249,248,249,250,250,249,250,"3,448",732,994,730,992,10,2,5,3,6,110,"20,503"
12-Jan-04,"5,587","3,192","2,111","1,930","1,504",91,76,94,66,65,66,67,102,97,92,43,73,219,101,84,70,98,"2,740",249,249,249,249,249,247,249,250,250,250,249,"3,444",731,993,729,991,14,6,5,3,6,7,"20,535"
13-Jan-04,"5,607","3,206","2,112","1,914","1,500",90,76,96,66,65,66,67,102,96,92,41,73,219,101,84,69,97,"2,739",248,249,249,249,249,248,249,250,250,249,249,"3,447",731,993,731,992,13,6,4,3,0,5,"20,543"
