Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,539","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,232"
1-Nov-10,"3,272","3,170","3,168","1,584","1,525",73,81,73,88,78,75,88,78,98,81,80,71,216,97,79,70,99,"3,005",235,225,240,224,224,216,223,281,225,224,224,224,240,"5,277",901,"1,359",942,"1,200",875,11,5,4,2,5,7,"21,024"
2-Nov-10,"3,275","3,200","3,159","1,573","1,525",72,81,73,88,81,77,88,78,98,80,79,71,214,97,79,70,99,"3,006",235,225,240,223,224,218,224,281,225,224,224,224,239,"5,273",901,"1,359",941,"1,198",874,11,5,4,2,5,11,"21,038"
3-Nov-10,"3,266","3,195","3,169","1,588","1,517",72,82,76,88,79,77,88,77,98,79,79,70,210,97,79,70,96,"3,007",235,226,240,221,224,217,224,284,225,224,224,223,240,"5,262",904,"1,361",938,"1,197",862,10,5,3,2,5,7,"21,026"
4-Nov-10,"3,261","3,201","3,166","1,605","1,517",71,82,75,92,78,77,86,75,98,79,78,69,214,98,79,69,97,"3,004",235,226,240,221,224,219,222,283,224,224,224,222,240,"5,258",902,"1,360",937,"1,199",860,10,5,3,2,5,7,"21,034"
5-Nov-10,"3,263","3,161","3,180","1,613","1,542",75,81,75,91,78,76,86,82,98,82,77,79,216,96,79,75,96,"3,003",234,226,240,224,221,219,223,282,224,224,224,222,240,"5,248",900,"1,356",937,"1,196",859,10,5,3,2,5,20,"21,045"
6-Nov-10,"3,262","3,159","3,179","1,613","1,536",75,80,75,91,78,76,86,82,98,82,77,79,215,92,79,75,96,"3,000",234,226,240,224,220,218,223,282,224,224,224,221,240,"5,248",900,"1,356",937,"1,196",859,10,5,3,2,5,20,"21,032"
7-Nov-10,"3,261","3,163","3,176","1,613","1,536",75,80,75,91,78,76,86,82,98,82,77,79,215,92,79,75,96,"2,995",234,226,240,220,220,217,223,282,224,224,224,221,240,"5,245",899,"1,355",937,"1,196",858,10,5,3,2,5,21,"21,025"
8-Nov-10,"3,254","3,167","3,152","1,603","1,547",80,80,75,91,78,76,86,82,99,83,81,79,214,91,78,78,96,"3,004",234,225,239,224,220,218,224,283,224,224,224,224,241,"5,242",900,"1,352",935,"1,201",854,10,5,3,2,5,6,"20,990"
9-Nov-10,"3,252","3,153","3,167","1,618","1,561",79,80,75,91,79,75,86,81,99,88,91,79,215,90,78,78,97,"3,011",234,225,239,224,225,219,224,283,225,224,224,223,242,"5,234",900,"1,348",935,"1,198",853,10,5,3,2,5,7,"21,018"
