Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
19-Oct-11,"3,055","3,038","3,185","1,973","1,523",85,82,81,78,90,90,75,88,92,76,69,76,195,94,90,83,79,"3,495",250,236,223,249,224,224,219,221,281,224,224,224,221,223,252,"5,172",901,"1,364",999,"1,015",893,12,4,5,3,5,5,"21,463"
20-Oct-11,"3,074","3,008","3,182","1,955","1,517",85,82,84,78,90,89,72,88,92,76,69,74,190,92,90,80,86,"3,493",249,235,224,247,224,224,219,222,281,224,224,224,220,224,252,"5,181",899,"1,362",997,"1,030",893,12,4,5,3,5,6,"21,433"
21-Oct-11,"3,069","3,012","3,196","1,925","1,486",82,87,81,85,84,83,70,89,88,70,69,73,188,89,88,74,86,"3,486",249,234,224,248,223,222,219,222,281,224,223,223,220,223,251,"5,178",899,"1,359",999,"1,023",898,12,4,5,3,5,54,"21,423"
22-Oct-11,"3,067","3,009","3,195","1,925","1,484",82,87,80,85,84,83,70,89,88,70,69,72,188,89,88,74,86,"3,484",248,234,224,247,223,222,219,222,281,224,223,223,220,223,251,"5,175",898,"1,358",999,"1,022",898,12,4,5,3,5,55,"21,411"
23-Oct-11,"3,067","3,011","3,194","1,925","1,483",82,87,80,85,84,83,70,89,87,70,69,72,188,89,88,74,86,"3,481",248,234,224,246,223,222,219,222,280,224,223,223,219,223,251,"5,174",898,"1,357",999,"1,022",898,12,4,5,3,5,54,"21,406"
24-Oct-11,"3,065","3,029","3,194","1,952","1,506",83,86,80,85,86,88,69,89,86,79,68,73,191,89,91,80,83,"3,488",247,235,224,250,224,224,219,224,280,224,223,223,218,223,250,"5,170",898,"1,357",999,"1,020",896,12,4,5,3,5,7,"21,428"
25-Oct-11,"3,058","3,046","3,197","1,942","1,506",83,86,79,84,85,87,69,89,85,79,69,72,195,88,93,80,83,"3,490",247,235,224,248,228,224,219,223,280,224,223,224,218,223,250,"5,176",897,"1,362",998,"1,024",895,12,4,5,3,5,7,"21,439"
26-Oct-11,"3,061","3,067","3,201","1,927","1,507",83,86,80,84,86,87,69,88,85,79,67,72,195,88,93,80,85,"3,486",249,235,224,248,222,224,219,223,279,224,223,224,219,223,250,"5,194",901,"1,362",997,"1,039",895,12,4,5,3,5,8,"21,468"
27-Oct-11,"3,061","3,092","3,200","1,942","1,507",86,84,78,83,84,88,68,87,90,77,67,72,194,89,93,80,87,"3,489",247,235,224,247,223,224,218,224,280,224,224,224,219,224,252,"5,181",901,"1,360",997,"1,028",895,11,4,4,3,5,8,"21,496"
