date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
19-Dec-11,"3,061","3,076","3,138","2,064","1,455",81,82,80,83,88,83,74,89,89,76,56,58,187,91,87,66,85,"3,947",297,233,224,249,279,280,282,279,285,224,280,278,233,223,301,"4,662",450,"1,321",999,"1,003",889,10,3,3,4,5,10,"21,428"
20-Dec-11,"3,075","3,088","3,140","2,065","1,453",80,81,80,84,88,83,74,89,90,76,56,58,187,90,86,66,85,"3,933",294,233,224,249,278,280,273,278,285,224,280,278,232,224,301,"4,659",450,"1,320",999,"1,001",889,10,3,3,4,5,8,"21,436"
21-Dec-11,"3,072","3,069","3,142","2,048","1,469",83,84,81,87,90,79,74,90,92,79,56,57,188,90,88,65,86,"3,941",297,235,222,250,280,280,272,280,284,224,280,280,231,224,302,"4,669",450,"1,323",999,"1,004",893,10,3,3,4,5,8,"21,433"
22-Dec-11,"3,073","3,032","3,144","2,028","1,469",83,84,80,86,90,79,74,90,92,79,55,57,188,93,88,65,86,"3,998",297,236,223,250,280,280,272,280,284,278,281,280,231,224,302,"4,667",450,"1,323",999,"1,003",892,10,3,3,4,5,11,"21,437"
23-Dec-11,"3,069","3,029","3,144","2,028","1,465",82,84,80,86,89,79,74,90,92,79,55,57,187,92,88,65,86,"3,995",297,236,223,250,279,280,271,280,283,278,281,280,231,224,302,"4,666",450,"1,323",999,"1,002",892,10,3,3,4,5,12,"21,423"
24-Dec-11,"3,066","3,030","3,143","2,028","1,459",82,82,80,86,89,78,74,90,92,78,55,57,187,91,87,65,86,"3,992",297,236,223,250,279,280,271,280,282,278,281,280,231,223,301,"4,664",450,"1,322",999,"1,001",892,10,3,3,4,5,11,"21,408"
25-Dec-11,"3,067","3,031","3,143","2,028","1,456",82,82,80,86,89,78,74,90,89,78,55,57,187,91,87,65,86,"3,990",297,235,223,250,279,280,271,280,282,278,281,280,231,223,300,"4,659",449,"1,322",999,999,890,10,3,3,4,5,11,"21,400"
26-Dec-11,"3,066","3,031","3,142","2,028","1,455",82,82,79,86,89,78,74,90,89,78,55,57,187,91,87,65,86,"3,990",297,235,223,250,279,280,271,280,282,278,281,280,231,223,300,"4,659",449,"1,322",999,999,890,10,3,3,4,5,6,"21,392"
27-Dec-11,"3,062","3,063","3,141","2,029","1,453",82,82,79,86,88,78,73,90,89,78,55,58,187,91,86,65,86,"3,991",297,235,224,249,280,280,274,280,281,278,280,280,230,223,300,"4,655",448,"1,320","1,000",997,890,10,3,3,4,5,6,"21,415"
