Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
14-Oct-03,"5,702","3,126","2,131","1,974","1,542",87,74,85,88,65,73,90,97,101,90,49,74,221,100,91,61,96,"2,569",237,235,235,235,235,218,234,235,235,235,235,"3,459",730,995,744,990,18,6,8,4,6,5,"20,532"
15-Oct-03,"5,708","3,135","2,142","1,962","1,539",87,74,85,88,65,73,90,97,100,90,49,75,219,99,91,61,96,"2,568",237,234,235,235,236,217,234,235,235,235,235,"3,462",730,994,749,989,18,6,8,4,6,5,"20,545"
16-Oct-03,"5,704","3,146","2,140","1,955","1,547",90,74,84,88,65,73,90,100,100,90,49,75,220,98,92,60,99,"2,564",234,234,235,235,236,216,234,235,235,235,235,"3,456",729,993,745,989,17,6,7,4,6,5,"20,540"
17-Oct-03,"5,688","3,119","2,098","1,980","1,494",87,68,80,89,66,70,86,96,99,88,47,75,208,92,86,58,99,"2,566",238,233,235,235,235,216,234,235,235,235,235,"3,462",728,995,746,993,15,4,7,4,6,44,"20,472"
18-Oct-03,"5,686","3,120","2,097","1,980","1,492",87,67,79,89,66,70,86,96,99,88,47,75,208,92,86,58,99,"2,565",238,233,235,235,235,216,234,235,235,235,234,"3,461",729,994,746,992,15,4,7,4,6,44,"20,466"
19-Oct-03,"5,683","3,120","2,097","1,980","1,490",87,67,79,89,66,70,85,96,99,88,47,75,207,92,86,58,99,"2,565",238,233,235,235,235,216,234,235,235,235,234,"3,461",729,994,746,992,15,4,7,4,6,45,"20,462"
20-Oct-03,"5,681","3,115","2,109","1,972","1,524",90,70,86,91,68,71,70,99,101,88,48,75,216,94,90,67,100,"2,577",238,233,231,235,235,235,234,233,234,235,234,"3,455",727,993,745,990,17,6,7,4,6,6,"20,462"
21-Oct-03,"5,694","3,116","2,100","1,962","1,535",88,70,87,91,68,72,81,99,102,88,47,74,216,95,90,67,100,"2,580",236,235,234,235,236,233,234,233,234,235,235,"3,459",726,993,750,990,17,6,7,4,6,4,"20,473"
22-Oct-03,"5,687","3,139","2,096","1,921","1,537",88,69,87,91,68,73,81,98,102,88,47,74,220,95,89,67,100,"2,582",236,235,233,235,236,234,235,235,234,234,235,"3,460",725,994,747,994,16,6,7,3,6,5,"20,449"
23-Oct-03,"5,703","3,157","2,087","1,918","1,529",88,69,87,91,68,74,80,96,101,86,47,74,219,94,88,67,100,"2,582",236,234,235,235,234,235,235,235,233,235,235,"3,459",725,993,747,994,16,6,7,3,6,5,"20,462"
24-Oct-03,"5,691","3,144","2,081","1,913","1,491",87,62,82,90,67,73,79,93,100,85,46,71,214,92,87,66,97,"2,638",236,234,235,250,235,250,235,235,249,244,235,"3,447",723,992,745,987,16,6,7,3,6,4,"20,431"
25-Oct-03,"5,692","3,144","2,080","1,913","1,491",87,62,82,90,67,73,79,93,100,85,46,71,214,92,87,66,97,"2,636",236,234,235,250,235,250,234,235,249,243,235,"3,447",723,992,745,987,16,6,7,3,6,1,"20,426"
26-Oct-03,"5,691","3,143","2,079","1,913","1,489",87,62,82,90,67,73,79,93,100,85,46,70,214,91,87,66,97,"2,636",236,234,235,250,235,250,234,235,249,243,235,"3,446",723,991,745,987,16,6,7,3,6,1,"20,420"
