date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,179"
1-Aug-19,"3,244","3,694",23,0,"2,641","1,225","1,015",0,0,85,309,82,0,47,0,0,0,0,82,46,78,41,143,15,30,0,0,0,57,0,"4,304",300,293,274,308,326,280,313,278,351,275,280,280,168,278,300,"3,181",0,"1,251",998,0,932,9,0,6,3,22,3,14,2,0,3,"19,358"
2-Aug-19,"3,620","3,662",23,0,"2,632","1,262","1,038",0,0,84,309,80,0,47,0,0,0,0,80,46,85,64,143,15,30,0,0,0,55,0,"4,315",300,292,274,308,331,279,322,280,351,273,280,280,167,279,299,"3,176",0,"1,246",998,0,932,9,0,6,3,22,3,14,2,0,3,"19,759"
3-Aug-19,"3,259","3,660",23,0,"2,630","1,262","1,035",0,0,84,306,80,0,47,0,0,0,0,80,46,85,64,143,15,30,0,0,0,55,0,"4,314",300,292,274,308,331,278,322,280,351,273,280,280,167,279,299,"3,176",0,"1,246",998,0,932,9,0,6,3,22,3,14,2,0,3,"19,390"
4-Aug-19,"3,258","3,660",23,0,"2,630","1,262","1,029",0,0,83,302,80,0,47,0,0,0,0,80,46,85,64,143,15,29,0,0,0,55,0,"4,313",300,292,273,308,331,278,322,280,351,273,280,280,167,279,299,"3,176",0,"1,246",998,0,932,9,0,6,3,21,3,14,2,0,2,"19,381"
5-Aug-19,"3,253","3,642",23,0,"2,643","1,255","1,058",0,0,84,311,84,0,47,0,0,0,0,80,47,85,65,144,15,39,0,0,0,57,0,"4,308",299,291,273,308,331,277,322,280,351,273,279,280,167,278,299,"3,179",0,"1,248",998,0,933,9,0,6,3,28,4,20,2,0,2,"19,398"
6-Aug-19,"3,283","3,649",23,0,"2,647","1,323","1,049",0,0,84,301,84,0,47,0,0,0,0,81,47,84,65,144,15,39,0,0,0,58,0,"4,304",299,291,273,308,330,277,321,280,349,273,279,280,167,278,299,"3,179",0,"1,248",998,0,933,9,0,6,3,33,4,26,1,0,2,"19,499"
7-Aug-19,"3,272","3,665",23,0,"2,645","1,227","1,044",0,0,83,301,82,0,47,0,0,0,0,81,47,83,65,144,15,38,0,0,0,58,0,"4,297",299,290,276,308,330,277,318,280,347,272,280,280,167,277,296,"3,177",0,"1,245",998,0,934,9,0,6,3,33,4,26,1,0,2,"19,392"
8-Aug-19,"3,286","3,629",23,0,"2,646","1,240","1,041",0,0,82,301,81,0,47,0,0,0,0,81,47,84,65,143,14,38,0,0,0,58,0,"4,287",299,287,276,307,330,277,317,279,344,270,280,279,166,278,298,"3,183",0,"1,251",998,0,934,9,0,6,3,30,4,23,1,0,2,"19,374"
9-Aug-19,"3,296","3,618",23,0,"2,653","1,226","1,029",0,0,81,298,80,0,47,0,0,0,0,80,47,84,65,138,14,37,0,0,0,58,0,"4,295",299,287,276,307,330,275,317,279,347,280,280,279,165,277,297,"3,187",0,"1,257",997,0,933,9,0,6,3,30,4,23,1,0,2,"19,366"
10-Aug-19,"3,294","3,614",23,0,"2,653","1,226","1,027",0,0,81,298,80,0,47,0,0,0,0,80,47,84,65,138,14,35,0,0,0,58,0,"4,295",299,287,276,307,330,275,317,279,347,280,280,279,165,277,297,"3,186",0,"1,256",997,0,933,9,0,6,3,0,4,23,1,0,2,"19,327"
11-Aug-19,"3,293","3,611",23,0,"2,652","1,226","1,017",0,0,81,292,80,0,47,0,0,0,0,80,47,84,65,138,14,31,0,0,0,58,0,"4,292",299,287,276,307,330,275,315,279,347,280,280,279,165,276,297,"3,186",0,"1,256",997,0,933,9,0,6,3,30,4,23,1,0,2,"19,339"
12-Aug-19,"3,283","3,642",23,0,"2,648","1,227","1,034",0,0,82,306,79,0,46,0,0,0,0,82,46,83,65,142,14,32,0,0,0,57,0,"4,283",299,287,275,307,329,275,314,277,347,277,280,278,165,276,297,"3,181",0,"1,253",996,0,932,9,0,6,3,30,4,23,1,0,2,"19,360"
13-Aug-19,"3,258","3,616",23,0,"2,659","1,231","1,036",0,0,89,302,78,0,45,0,0,0,0,83,46,82,65,144,14,31,0,0,0,57,0,"4,296",299,293,276,310,329,279,313,277,346,276,280,277,168,275,298,"3,180",0,"1,253",995,0,932,9,0,6,3,36,4,29,1,0,2,"19,344"
14-Aug-19,"3,250","3,632",24,0,"2,657","1,225","1,048",0,0,88,313,78,0,45,0,0,0,0,83,46,83,65,144,14,32,0,0,0,57,0,"4,279",299,292,276,310,329,279,312,276,341,275,280,277,167,269,297,"3,184",0,"1,255",994,0,935,9,0,6,3,37,5,29,1,0,2,"19,345"
15-Aug-19,"3,259","3,634",24,0,"2,650","1,264","1,031",0,0,89,298,78,0,46,0,0,0,0,82,46,83,65,144,14,32,0,0,0,54,0,"4,281",299,293,275,310,329,279,312,276,340,274,280,280,166,271,297,"3,180",0,"1,253",993,0,934,9,0,6,3,41,4,32,1,0,4,"19,373"
16-Aug-19,"3,265","3,610",24,0,"2,661","1,288","1,015",0,0,88,289,76,0,46,0,0,0,0,81,45,81,64,140,14,32,0,0,0,59,0,"4,280",299,292,274,309,321,278,312,278,350,274,280,278,165,274,296,"3,179",0,"1,245","1,000",0,934,9,0,6,3,43,6,32,1,0,4,"19,374"
17-Aug-19,"3,199","3,767",26,0,"2,646","1,268","1,040",0,0,88,321,76,0,46,0,0,0,0,81,45,81,64,140,14,25,0,0,0,59,0,"4,288",291,294,278,310,323,274,312,280,349,280,279,279,160,279,300,"3,168",0,"1,247",999,0,922,9,0,6,3,32,1,28,2,0,1,"19,443"
