date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"24,959"
22-Apr-14,"3,309","2,814",37,"3,223","1,906","1,168",87,43,52,68,48,48,40,51,54,70,90,80,209,98,45,41,44,"4,396",299,366,276,298,278,280,274,277,355,272,279,279,287,277,299,4335,"1,198",1000,"1,283",854,11,3,6,2,"21,199"
23-Apr-14,"3,289","2,800",37,"3,244","1,875","1,174",88,43,51,67,48,48,42,51,54,72,93,77,207,102,46,41,44,"4,415",300,368,280,299,280,280,273,277,355,278,280,279,287,278,301,4337,"1,198",999,"1,286",854,11,3,6,2,"21,182"
24-Apr-14,"3,284","2,835",37,"3,243","2,114","1,169",88,44,51,67,47,51,40,48,58,72,92,77,201,102,46,41,44,"4,171",300,368,280,299,279,279,273,276,355,276,280,278,46,281,301,4337,"1,199",999,"1,290",849,11,3,6,2,"21,201"
25-Apr-14,"3,275","2,824",37,"3,232","1,885","1,171",87,44,51,69,52,51,47,48,53,72,90,76,199,102,46,41,43,"4,407",300,367,280,301,279,279,274,276,355,277,280,277,287,275,300,4341,"1,200",998,"1,292",851,11,3,6,2,"21,183"
26-Apr-14,"3,275","2,824",37,"3,231","1,885","1,170",87,44,51,69,52,51,47,48,53,72,89,77,199,102,45,41,43,"4,400",299,364,280,301,278,279,274,276,355,276,280,276,287,275,300,4338,"1,200",997,"1,291",850,11,3,6,2,"21,171"
27-Apr-14,"3,274","2,822",37,"3,229","1,894","1,169",87,44,51,69,52,51,47,48,53,72,89,76,199,102,45,41,43,"4,388",299,364,280,301,277,279,274,276,355,276,280,276,287,274,290,4338,"1,200",997,"1,291",850,11,3,6,2,"21,162"
28-Apr-14,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,,,0
29-Apr-14,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,,,0
30-Apr-14,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,,,0
Avg Pop,"3,320","2,891",37,"3,218","1,930","1,162",86,45,52,65,48,47,42,51,58,75,86,74,201,97,48,42,46,"4,392",298,367,278,299,278,279,273,278,353,277,280,279,282,274,299,"4,026",755,"1,072","1,177","1,023",11,4,5,2,"20,992"
