Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,818",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,103"
1-Aug-16,"3,383","3,243",30,14,"2,971","1,452","1,073",0,0,72,79,67,0,0,65,20,91,83,88,85,152,9,25,62,15,89,71,0,"3,524",239,293,239,239,198,194,267,271,260,200,200,265,222,199,238,"3,772",0,"1,162",999,720,891,12,4,5,3,"19,474"
2-Aug-16,"3,387","3,221",32,7,"2,985","1,520","1,064",0,0,71,78,66,0,0,65,20,89,82,87,90,151,9,24,59,14,88,71,0,"3,533",239,294,239,239,200,198,270,270,260,200,200,265,219,200,240,"3,765",0,"1,160",997,719,889,12,4,5,3,"19,526"
3-Aug-16,"3,377","3,267",32,7,"2,983","1,526","1,059",0,0,71,78,63,0,0,63,20,87,85,87,90,153,9,23,56,15,88,71,0,"3,538",240,293,239,240,200,200,269,270,260,198,200,270,219,200,240,"3,722",0,"1,171",998,668,885,11,4,5,2,"19,522"
4-Aug-16,"3,363","3,293",32,6,"2,988","1,516","1,060",0,0,70,78,62,0,0,61,20,87,88,88,85,154,9,23,56,15,90,74,0,"3,528",238,293,240,235,200,198,269,270,260,197,200,270,218,200,240,"3,723",0,"1,173",998,659,893,11,4,5,2,"19,520"
5-Aug-16,"3,364","3,278",32,8,"2,982","1,522","1,082",0,0,74,78,63,0,0,71,19,82,88,88,83,155,9,24,70,15,90,73,0,"3,527",238,293,240,239,200,198,268,269,258,198,200,269,217,201,239,"3,713",0,"1,173",995,652,893,11,4,5,2,"19,519"
6-Aug-16,"3,364","3,277",32,8,"2,979","1,522","1,081",0,0,74,78,63,0,0,70,19,82,88,88,83,155,9,24,70,15,90,73,0,"3,525",238,293,240,238,200,198,268,269,258,198,200,269,217,201,238,"3,713",0,"1,173",995,652,893,11,4,5,2,"19,512"
7-Aug-16,"3,364","3,375",32,8,"2,980","1,522","1,078",0,0,74,78,63,0,0,69,19,82,88,88,83,155,9,24,68,15,90,73,0,"3,521",238,292,240,238,200,198,267,269,257,198,200,269,217,201,237,"3,713",0,"1,173",995,652,893,11,4,5,2,"19,604"
8-Aug-16,"3,349","3,349",32,7,"2,985","1,532","1,068",0,0,73,80,62,0,0,68,19,82,86,85,84,156,9,24,64,13,89,74,0,"3,518",236,291,240,236,200,199,270,268,257,198,200,269,217,199,238,"3,661",0,"1,172",995,601,893,10,4,5,1,"19,511"
,"3,354","3,347",32,7,"2,987","1,544","1,067",0,0,72,80,62,0,0,65,19,82,86,85,84,158,10,23,63,13,91,74,0,"3,534",240,293,240,240,200,199,270,269,259,200,200,268,221,195,240,"3,659",0,"1,172",995,600,892,10,4,5,1,"19,541"
9-Aug-16 10-Aug-16,"3,353","3,409",32,7,"2,995","1,564","1,064",0,0,72,87,62,0,0,63,19,80,85,85,82,158,10,21,61,15,90,74,0,"3,537",240,293,240,240,200,199,270,270,259,200,200,268,222,196,240,"3,607",0,"1,171",995,549,892,10,4,5,1,"19,578"
