Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,515","3,124","1,589","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,0,"22,685"
10-Nov-07,"4,395","3,493","3,010","1,765","1,763",82,96,95,97,100,96,100,101,99,91,89,85,236,98,101,98,99,"3,079",295,280,278,279,270,279,279,280,280,279,280,"4,786",969,890,992,0,942,993,13,5,5,3,5,46,"22,355"
11-Nov-07,"4,393","3,490","3,008","1,765","1,762",82,96,94,97,99,96,100,101,99,91,89,85,236,98,101,99,99,"3,078",295,280,278,279,270,279,279,279,280,279,280,"4,783",969,888,991,0,942,993,13,5,5,3,5,46,"22,343"
12-Nov-07,"4,389","3,492","3,006","1,767","1,800",91,101,95,99,101,98,101,102,100,92,90,89,242,99,101,99,100,"3,074",295,280,277,279,270,279,278,279,280,278,279,"4,781",969,888,990,0,942,992,13,5,5,3,5,6,"22,333"
13-Nov-07,"4,382","3,491","2,993","1,773","1,786",91,102,95,99,101,94,101,102,96,92,90,88,239,95,101,99,101,"3,080",295,280,277,279,272,280,279,280,280,279,279,"4,797",968,887,"1,000",0,944,998,13,5,5,3,5,8,"22,328"
14-Nov-07,"4,380","3,495","3,011","1,759","1,801",91,101,95,99,99,102,101,102,102,92,88,88,240,101,101,99,100,"3,080",295,280,278,279,270,280,280,279,279,280,280,"4,805",969,888,"1,000",0,950,998,13,5,5,3,5,8,"22,357"
15-Nov-07,"4,382","3,526","2,986","1,732","1,805",90,101,96,98,97,102,99,102,101,90,88,87,253,102,101,99,99,"3,083",294,280,278,280,272,280,280,280,280,279,280,"4,803",971,890,"1,000",0,943,999,13,5,5,3,5,6,"22,341"
16-Nov-07,"4,383","3,473","3,001","1,755","1,809",90,100,96,101,100,101,98,102,101,91,86,87,256,102,101,99,98,"3,088",295,280,281,280,273,280,280,280,280,279,280,"4,800",971,890,999,0,944,996,12,5,4,3,5,6,"22,332"
17-Nov-07,"4,379","3,471","2,997","1,755","1,806",90,100,96,101,100,101,98,102,101,90,86,86,255,102,101,99,98,"3,086",295,280,280,280,273,280,280,280,280,278,280,"4,796",971,890,998,0,942,995,12,5,4,3,5,6,"22,313"
18-Nov-07,"4,375","3,471","2,997","1,755","1,804",90,100,96,101,99,101,98,102,100,90,86,86,255,102,101,99,98,"3,083",294,280,280,280,273,280,280,279,279,278,280,"4,795",971,890,998,0,941,995,12,5,4,3,5,6,"22,303"
