Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,500",300,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,340"
11-Aug-14,"3,294","2,522",40,83,"3,199","1,743","1,168",89,50,53,63,54,51,40,49,65,76,86,70,188,93,52,46,43,"4,395",300,369,278,298,277,277,274,280,346,278,279,279,284,276,300,4170,"1,195",998,"1,163",814,6,4,1,1,"20,620"
12-Aug-14,"3,296","2,527",40,85,"3,201","1,742","1,171",91,54,54,63,53,51,45,48,61,76,89,69,185,93,51,45,43,"4,404",300,367,279,296,278,278,274,280,353,278,279,280,286,277,299,4148,"1,192",996,"1,146",814,6,4,1,1,"20,620"
13-Aug-14,"3,299","2,529",40,90,"3,211","1,709","1,179",91,54,54,59,51,58,45,48,61,75,89,68,185,92,51,50,48,"4,412",300,366,277,300,279,280,274,279,354,277,280,280,286,280,300,4152,"1,194",993,"1,151",814,6,4,1,1,"20,627"
14-Aug-14,"3,297","2,485",40,84,"3,206","1,778","1,175",91,54,54,60,51,58,44,48,58,75,87,67,184,96,51,49,48,"4,411",300,365,279,299,277,280,274,279,355,277,280,280,286,280,300,4161,"1,197",996,"1,126",842,6,4,1,1,"20,643"
15-Aug-14,"3,300","2,485",40,84,"3,204","1,725","1,209",92,52,54,65,50,57,50,47,58,77,89,70,203,96,51,49,49,"4,412",300,367,280,299,277,280,273,277,355,279,280,280,286,280,299,4160,"1,198",996,"1,136",830,6,4,1,1,"20,625"
16-Aug-14,"3,298","2,486",40,84,"3,205","1,731","1,200",92,52,54,65,50,57,50,47,58,77,89,70,193,97,51,49,49,"4,411",300,367,280,299,276,280,273,277,355,279,280,280,286,280,299,4155,"1,196",995,"1,135",829,6,4,1,1,"20,616"
17-Aug-14,"3,297","2,486",40,84,"3,205","1,733","1,199",92,52,54,65,50,56,50,47,58,77,89,70,193,97,51,49,49,"4,409",300,366,280,299,275,280,273,277,355,279,280,280,286,280,299,4153,"1,195",995,"1,134",829,6,4,1,1,"20,612"
18-Aug-14,"3,294","2,494",39,97,"3,196","1,720","1,188",92,53,54,64,50,56,50,48,59,77,86,68,186,96,50,49,50,"4,417",298,369,280,300,278,280,275,277,354,280,280,279,286,280,301,4150,"1,196",992,"1,133",829,6,4,1,1,"20,601"
19-Aug-14,"3,321","2,468",39,98,"3,203","1,713","1,197",91,53,53,66,51,56,48,54,60,77,85,67,185,102,50,49,50,"4,417",298,369,280,300,279,280,275,280,354,279,280,278,286,280,299,4156,"1,198",992,"1,138",828,6,4,1,1,"20,618"
20-Aug-14,"3,321","2,479",39,114,"3,192","1,684","1,202",90,53,53,66,51,56,48,53,60,77,85,67,187,101,54,47,54,"4,401",297,369,280,297,280,280,274,275,353,277,280,280,284,278,297,4167,"1,197",999,"1,144",827,7,5,1,1,"20,606"
21-Aug-14,"3,327","2,462",38,101,"3,194","1,717","1,214",90,54,53,66,55,56,48,53,60,77,84,67,189,101,54,54,53,"4,412",300,368,277,298,281,280,274,275,353,278,280,280,290,280,298,4158,"1,198",999,"1,135",826,7,5,1,1,"20,630"
