Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,610","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,224"
28-Apr-11,"3,196","3,250","3,155","1,836","1,503",84,69,77,99,80,89,77,83,96,84,82,65,185,92,77,70,94,"3,019",232,224,250,224,224,211,225,284,223,223,224,223,252,"5,088",902,"1,344",939,"1,015",888,7,3,4,0,5,8,"21,067"
29-Apr-11,"3,163","3,243","3,168","1,846","1,505",82,69,75,97,79,90,77,83,94,83,79,69,188,91,85,75,89,"3,011",231,224,250,222,224,203,225,284,224,224,224,224,252,"5,103",894,"1,344",968,"1,010",887,7,3,4,0,5,13,"21,064"
30-Apr-11,"3,162","3,242","3,167","1,846","1,502",82,69,74,95,79,90,77,83,94,83,79,69,188,91,85,75,89,"3,008",231,224,249,222,224,203,225,284,224,224,224,223,251,"5,102",894,"1,344",967,"1,010",887,7,3,4,0,5,13,"21,054"
 Avg Population,"3,212","3,232","3,167","1,760","1,483",84,74,82,91,80,86,73,77,95,84,85,64,185,91,75,67,91,"3,020",233,224,249,223,224,216,223,284,224,223,223,223,251,"5,097",903,"1,344",925,"1,040",886,7,3,4,0,5,13,"20,999"
