date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS,"(Hospital) & 5 at Family Visitation Apts."""
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737",
13-Jun-03,"5,710","3,173","2,178","2,081","1,272",64,72,71,71,75,71,69,71,93,74,61,59,143,68,68,70,72,"2,586",235,235,235,235,235,235,235,236,235,235,235,"3,378",682,991,714,991,19,6,10,3,6,58,"20,461",
14-Jun-03,"5,704","3,173","2,180","2,081","1,270",64,72,71,71,75,71,69,70,93,73,61,59,143,68,68,70,72,"2,585",235,235,235,235,235,234,235,236,235,235,235,"3,378",682,991,714,991,18,6,9,3,6,57,"20,452",
15-Jun-03,"5,702","3,171","2,178","2,081","1,271",64,72,71,71,75,71,69,70,93,74,61,59,143,68,68,70,72,"2,585",235,235,235,235,235,234,235,236,235,235,235,"3,375",682,988,714,991,18,6,9,3,6,57,"20,444",
16-Jun-03,"5,715","3,178","2,173","2,059","1,339",75,74,74,84,75,75,75,72,100,74,61,61,146,73,73,73,74,"2,570",235,235,225,235,235,233,235,235,235,232,235,"3,369",682,986,713,988,18,6,9,3,6,3,"20,430",
17-Jun-03,"5,716","3,172","2,181","2,062","1,341",75,74,74,83,75,74,75,72,102,74,61,62,146,73,73,74,74,"2,575",237,235,224,235,235,234,235,235,235,235,235,"3,369",682,986,710,991,18,6,9,3,6,3,"20,443",
18-Jun-03,"5,719","3,169","2,182","2,062","1,351",75,73,74,95,75,74,75,76,102,74,58,62,146,72,72,74,74,"2,577",236,235,233,235,235,233,235,232,235,235,233,"3,368",682,986,709,991,18,6,9,3,6,7,"20,459",
19-Jun-03,"5,712","3,159","2,203","2,072","1,359",75,73,75,95,75,74,75,86,101,74,57,62,146,74,72,74,71,"2,574",236,235,231,235,233,233,235,235,235,233,233,"3,379",682,995,711,991,18,6,9,3,6,12,"20,494",
20-Jun-03,"5,698","3,156","2,196","2,086","1,355",73,70,72,97,73,72,72,96,100,71,56,59,163,71,70,74,66,"2,579",236,235,232,237,233,234,235,234,234,236,233,"3,377",682,994,710,991,18,6,9,3,6,45,"20,516",
21-Jun-03,"5,696","3,156","2,195","2,086","1,352",73,70,72,96,73,72,72,96,99,70,56,59,163,71,70,74,66,"2,578",236,235,232,237,233,234,235,234,234,235,233,"3,376",682,994,710,990,18,6,9,3,6,45,"20,508",
22-Jun-03,"5,696","3,157","2,195","2,086","1,354",73,70,72,96,73,72,72,96,100,71,56,59,164,71,70,73,66,"2,577",236,235,232,236,233,234,235,234,234,235,233,"3,376",682,994,710,990,18,6,9,3,6,44,"20,509",
23-Jun-03,"5,688","3,157","2,192","2,097","1,409",75,72,74,99,75,74,74,97,98,73,55,61,168,73,71,73,97,"2,574",236,234,231,236,234,234,235,233,234,235,232,"3,373",682,992,709,990,18,6,9,3,6,9,"20,523",
24-Jun-03,"5,681","3,167","2,183","2,087","1,404",74,72,73,99,75,74,74,97,98,72,54,61,169,73,71,73,95,"2,583",234,235,234,236,234,235,235,235,235,235,235,"3,376",681,992,716,987,18,6,9,3,6,11,"20,516",
