Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,631","3,049","2,214","2,104","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,748"
11-May,"5,272","2,983","1,981","1,375","1,246",69,74,72,75,73,73,70,72,75,73,65,62,110,69,75,70,69,"2,004",199,195,199,208,200,197,197,196,198,215,"3,205",759,496,748,327,875,17,6,10,1,6,"18,089"
12-May,"5,271","2,987","1,981","1,378","1,244",69,74,72,75,73,72,70,72,75,73,65,62,109,69,75,70,69,"2,004",199,195,199,208,200,197,197,196,198,215,"3,205",759,496,748,327,875,17,6,10,1,6,"18,093"
13-May,"5,270","2,987","1,981","1,378","1,245",69,74,73,75,73,73,70,72,75,73,64,62,109,69,75,70,69,"2,004",199,195,199,208,200,197,197,196,198,215,"3,203",759,495,747,327,875,17,6,10,1,6,"18,091"
14-May,"5,277","2,964","1,977","1,395","1,268",72,74,75,74,74,73,74,74,75,73,66,62,109,73,75,70,75,"2,000",199,195,199,208,200,197,196,195,198,213,"3,198",757,493,746,327,875,18,6,11,1,6,"18,103"
15-May,"5,270","2,945","1,990","1,442","1,269",72,75,75,75,73,73,74,75,75,75,65,62,108,73,74,70,75,"2,003",199,196,199,209,199,197,199,196,196,213,"3,201",757,494,744,331,875,18,6,11,1,6,"18,144"
16-May,"5,287","2,934","1,985","1,424","1,269",75,74,75,73,73,73,74,75,75,75,64,62,106,73,74,73,75,"2,004",198,201,199,208,198,196,198,199,195,212,"3,202",755,498,743,331,875,18,6,11,1,6,"18,129"
17-May,"5,284","2,965","1,986","1,421","1,268",73,74,75,73,74,73,74,75,74,74,66,62,105,73,75,73,75,"2,003",199,201,199,208,197,196,197,199,195,212,"3,202",755,498,743,331,875,18,6,11,1,6,"18,153"
18-May,"5,269","2,956","1,987","1,431","1,213",70,73,70,72,71,71,63,70,72,71,66,62,104,69,68,69,72,"2,001",199,201,200,208,197,196,197,198,195,210,"3,210",754,498,742,341,875,18,6,11,1,6,"18,091"
19-May,"5,268","2,955","1,986","1,430","1,213",70,73,70,72,71,71,63,70,72,71,66,62,104,69,68,69,72,"2,000",199,201,200,207,197,196,197,198,195,210,"3,209",754,497,742,341,875,18,6,11,1,6,"18,085"
20-May,"5,266","2,952","1,985","1,430","1,213",70,73,70,72,71,71,63,70,72,71,66,62,104,69,68,69,72,"2,000",199,201,200,207,197,196,197,198,195,210,"3,209",754,497,742,341,875,18,6,11,1,6,"18,079"
