date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
10-Jul-11,"3,085","3,285","3,129","1,795","1,540",77,82,79,81,88,86,77,87,89,85,84,89,192,94,89,76,85,"3,273",250,234,224,248,217,224,220,225,285,224,225,224,224,249,"5,110",896,"1,351",998,978,887,8,4,4,0,5,51,"21,281"
11-Jul-11,"3,092","3,262","3,122","1,791","1,569",85,81,83,84,87,86,79,89,96,89,83,88,193,93,93,73,87,"3,278",249,234,224,250,220,224,220,223,285,225,224,224,224,252,"5,110",899,"1,347",997,982,885,10,6,4,0,5,10,"21,249"
12-Jul-11,"3,099","3,272","3,119","1,807","1,567",85,80,83,83,87,85,79,89,96,89,83,88,193,94,93,73,87,"3,277",248,235,224,250,224,224,219,222,285,224,223,224,224,251,"5,109",898,"1,345",997,981,888,10,6,4,0,5,10,"21,275"
13-Jul-11,"3,106","3,267","3,128","1,823","1,560",85,79,83,82,85,85,78,88,94,92,83,88,193,94,92,72,87,"3,274",246,235,224,249,224,224,219,221,284,224,223,224,224,253,"5,126",904,"1,351",994,990,887,10,6,4,0,5,9,"21,308"
14-Jul-11,"3,095","3,275","3,125","1,826","1,561",84,79,86,86,85,84,77,88,94,92,83,88,192,93,91,73,86,"3,270",247,235,224,248,224,224,218,223,285,223,223,222,223,251,"5,116",899,"1,348",991,991,887,10,6,4,0,5,6,"21,289"
15-Jul-11,"3,090","3,275","3,127","1,817","1,572",83,78,91,85,85,87,85,88,88,90,83,89,197,91,89,74,89,"3,271",246,235,222,247,224,224,219,224,285,224,224,222,224,251,"5,100",898,"1,344",999,975,884,10,6,4,0,5,21,"21,288"
16-Jul-11,"3,088","3,271","3,124","1,817","1,571",83,78,91,84,85,90,85,88,88,90,83,89,197,88,89,74,89,"3,269",246,235,222,247,224,224,219,224,285,224,224,222,223,250,"5,098",897,"1,343",999,975,884,10,6,4,0,5,6,"21,259"
17-Jul-11,"3,087","3,271","3,123","1,817","1,569",82,78,91,83,85,90,85,88,88,90,83,89,197,88,89,74,89,"3,269",246,235,222,247,224,224,219,224,285,224,224,222,223,250,"5,096",896,"1,343",999,974,884,10,6,4,0,5,6,"21,253"
18-Jul-11,"3,101","3,270","3,134","1,801","1,562",84,71,90,83,85,90,83,81,87,90,83,92,200,89,91,74,89,"3,269",246,235,222,247,224,224,217,224,283,223,224,223,223,254,"5,093",896,"1,342",998,972,885,10,6,4,0,5,8,"21,253"
