date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS (increased by 15 on 11/2),COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,701"
1-Nov-01,"5,252","2,976","2,115","1,628","1,260",74,75,71,72,73,74,74,73,75,73,54,65,110,74,74,74,75,"2,037",208,201,198,199,211,224,199,200,197,200,"3,511",842,490,869,418,892,18,6,11,1,5,"18,802"
2-Nov-01,"5,246","2,943","2,137","1,666","1,252",70,72,73,71,73,74,74,69,75,72,60,65,111,73,73,73,74,"2,028",207,199,195,199,211,223,199,200,196,199,"3,522",842,498,869,421,892,18,6,11,1,5,"18,817"
3-Nov-01,"5,244","2,939","2,135","1,670","1,252",70,72,73,71,73,74,74,69,75,72,60,65,111,73,73,73,74,"2,027",207,199,195,198,211,223,199,200,196,199,"3,521",842,497,869,421,892,18,6,11,1,5,"18,811"
4-Nov-01,"5,243","2,939","2,134","1,670","1,252",70,72,73,71,73,74,74,69,75,72,60,65,111,73,73,73,74,"2,027",207,199,195,198,211,223,199,200,196,199,"3,520",842,497,869,421,891,18,6,11,1,5,"18,808"
5-Nov-01,"5,241","2,961","2,128","1,668","1,269",73,75,74,70,73,74,73,71,75,72,67,64,114,74,72,74,74,"2,022",207,198,195,198,208,222,199,200,196,199,"3,517",842,497,866,421,891,18,6,11,1,5,"18,829"
6-Nov-01,"5,240","2,972","2,114","1,695","1,265",73,75,74,74,74,75,74,70,71,72,66,63,113,73,71,74,73,"2,038",208,199,200,200,208,224,199,200,200,200,"3,516",841,497,867,420,891,17,5,11,1,5,"18,862"
7-Nov-01,"5,252","2,950","2,114","1,697","1,267",73,73,73,73,74,75,74,70,71,74,68,63,113,72,74,74,73,"2,036",207,199,200,200,210,224,199,197,200,200,"3,526",840,497,867,425,897,18,6,11,1,5,"18,865"
8-Nov-01,"5,248","2,942","2,138","1,677","1,265",73,71,72,73,74,74,74,70,75,74,67,62,113,72,73,74,74,"2,034",207,199,199,200,210,224,198,197,200,200,"3,539",839,495,871,438,896,18,6,11,1,5,"18,866"
9-Nov-01,"5,236","2,980","2,140","1,655","1,211",67,66,66,71,72,71,73,64,69,71,66,62,111,69,72,70,71,"2,034",207,199,199,200,209,224,198,197,200,201,"3,537",838,495,871,437,896,13,6,6,1,4,"18,810"
10-Nov-01,"5,233","2,980","2,140","1,655","1,209",67,66,66,71,72,71,72,63,69,71,66,62,111,69,72,70,71,"2,034",207,199,199,200,209,224,198,197,200,201,"3,535",837,494,871,437,896,13,6,6,1,4,"18,803"
