Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,3590,"3,710",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,215"
22-May-17,3338,"3,287",29,16,"3,012","1,306",995,0,0,76,100,68,0,0,79,12,60,54,80,70,164,8,20,78,15,57,54,0,"3,789",239,294,264,288,220,223,272,273,347,197,224,260,231,219,238,"3,056",0,"1,184",999,0,873,12,5,4,3,59,15,27,3,12,2,"18,899"
23-May-17,3353,"3,275",29,16,"3,017","1,288",988,0,0,75,100,68,0,0,77,12,60,53,81,69,163,8,20,76,15,57,54,0,"3,790",238,292,264,288,220,223,271,281,346,198,224,260,230,217,238,"3,071",0,"1,199",999,0,873,12,5,4,3,59,16,26,3,12,2,"18,898"
24-May-17,3349,"3,240",30,16,"3,021","1,299",978,0,0,74,94,72,0,0,76,12,60,53,81,68,163,8,19,72,15,57,54,0,"3,793",240,293,262,287,224,225,272,281,347,194,225,259,227,221,236,"3,070",0,"1,197",998,0,875,12,5,4,3,59,16,26,3,12,2,"18,867"
25-May-17,"3,351","3,291",31,8,"3,018","1,294",976,0,0,74,93,72,0,0,74,12,60,53,81,68,161,8,28,69,12,57,54,0,"3,784",240,291,261,288,224,221,272,281,346,194,225,259,226,220,236,"3,066",0,"1,192",997,0,877,12,5,4,3,60,16,26,3,13,2,"18,891"
26-May-17,"3,331","3,309",31,11,"3,008","1,302",977,0,0,74,93,72,0,0,74,11,59,53,81,69,161,8,28,69,14,57,54,0,"3,781",240,294,260,288,224,224,269,280,347,193,225,261,223,218,235,"3,068",0,"1,191",997,0,880,12,5,4,3,60,16,26,3,13,2,"18,890"
27-May-17,"3,327","3,309",31,11,"3,002","1,302",976,0,0,74,93,72,0,0,74,11,59,53,81,69,160,8,28,69,14,57,54,0,"3,780",240,294,260,288,224,224,269,280,347,192,225,261,223,218,235,"3,062",0,"1,191",995,0,876,12,5,4,3,58,15,26,3,12,2,"18,870"
28-May-17,"3,327","3,309",31,10,"3,002","1,302",971,0,0,74,93,72,0,0,71,11,59,53,81,69,160,8,27,68,14,57,54,0,"3,780",240,294,260,288,224,224,269,280,347,192,225,261,223,218,235,"3,061",0,"1,191",995,0,875,12,5,4,3,58,15,26,3,12,2,"18,863"
29-May-17,"3,328","3,306",31,10,"3,001","1,304",968,0,0,74,93,72,0,0,71,11,59,53,81,68,160,8,26,67,14,57,54,0,"3,779",240,294,259,288,224,224,269,280,347,192,225,261,223,218,235,"3,061",0,"1,191",995,0,875,12,5,4,3,58,15,26,3,12,2,"18,858"
30-May-17,"3,326","3,308",31,9,"3,003","1,316",960,0,0,71,92,71,0,0,71,11,62,53,78,68,157,8,27,68,14,56,53,0,"3,780",240,292,259,287,222,220,269,279,349,198,225,261,222,219,238,"3,057",0,"1,189",995,0,873,12,5,4,3,57,14,26,3,12,2,"18,859"
31-May-17,"3,314","3,341",31,8,"3,000","1,311",947,0,0,70,90,71,0,0,66,11,61,53,79,66,157,8,27,66,13,56,53,0,"3,770",239,290,258,288,221,219,273,279,348,197,223,257,222,219,237,"3,058",0,"1,190",995,0,873,12,5,4,3,59,15,26,4,12,2,"18,851"
Avg Population,3336,3327,30,12,3026,1322,973,0,0,79,87,75,0,0,73,12,61,51,83,67,159,8,23,71,15,56,53,0,3796,240,293,263,287,223,222,272,277,348,197,223,261,233,221,238,3063,0,1188,998,0,877,12,5,4,3,65,16,27,3,16,2,18961
