date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,256","1,668","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,442"
1-Jan-12,"3,058","3,045","3,148","2,012","1,448",80,83,76,84,86,84,71,91,92,78,50,58,188,90,85,65,87,"3,994",299,235,225,249,279,280,275,279,281,280,279,280,231,223,299,"4,668",446,"1,320",999,"1,011",892,9,3,2,4,5,10,"21,397"
2-Jan-12,"3,057","3,046","3,148","2,012","1,448",80,83,76,84,86,84,71,91,92,78,50,58,188,90,85,65,87,"3,992",299,235,224,249,279,280,275,279,281,279,279,280,231,223,299,"4,666",446,"1,319",999,"1,011",891,9,3,2,4,5,9,"21,392"
3-Jan-12,"3,049","3,028","3,133","1,990","1,417",79,83,75,84,84,86,70,90,89,75,49,58,183,85,83,61,83,"4,082",299,284,224,299,279,280,274,279,281,277,278,279,228,223,298,"4,615",396,"1,318",998,"1,012",891,8,3,2,3,5,8,"21,335"
4-Jan-12,"3,054","3,044","3,148","1,973","1,417",79,83,75,84,84,86,71,90,89,75,49,58,183,85,83,61,82,"4,139",299,284,280,299,279,280,274,279,281,277,280,280,228,221,298,"4,548",338,"1,323","1,000",996,891,8,3,2,3,5,7,"21,343"
5-Jan-12,"3,126","3,022","3,149","1,967","1,429",78,82,75,81,86,86,70,90,89,75,49,58,187,87,83,69,84,"4,161",298,284,281,299,280,280,274,280,286,278,280,280,237,224,300,"4,479",275,"1,323",997,994,890,8,3,2,3,5,5,"21,351"
6-Jan-12,"3,171","3,014","3,147","1,933","1,438",78,82,76,83,86,86,75,89,89,77,47,57,186,87,85,68,87,"4,205",297,283,279,298,279,280,274,278,338,279,280,280,237,224,299,"4,408",197,"1,322",999,"1,001",889,8,3,2,3,5,6,"21,335"
7-Jan-12,"3,169","3,013","3,148","1,933","1,432",78,82,76,82,86,86,75,88,89,77,47,57,185,86,84,68,86,"4,201",296,283,279,297,278,280,274,278,338,279,280,280,237,224,298,"4,407",197,"1,322",998,"1,001",889,8,3,2,3,5,6,"21,322"
8-Jan-12,"3,168","3,015","3,147","1,933","1,430",78,82,76,82,86,86,75,88,88,77,47,57,185,86,84,68,85,"4,200",296,283,279,296,278,280,274,278,338,279,280,280,237,224,298,"4,405",197,"1,321",997,"1,001",889,8,3,2,3,0,4,"21,310"
9-Jan-12,"3,190","3,032","3,150","1,936","1,423",78,81,76,81,86,85,73,88,88,77,48,56,183,87,84,68,84,"4,193",296,283,279,289,279,280,274,278,339,280,279,280,236,224,297,"4,387",171,"1,323",997,"1,004",892,8,3,2,3,0,6,"21,325"
