date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
13-Aug-03,"5,743","3,107","2,120","2,010","1,424",85,65,74,98,72,74,76,89,95,70,50,58,202,85,85,56,90,"2,576",231,234,233,235,235,235,234,234,236,235,234,"3,461",728,990,750,993,16,5,8,3,6,6,"20,469"
14-Aug-03,"5,718","3,099","2,123","1,993","1,450",89,70,78,98,74,75,82,91,92,70,51,57,198,89,88,57,91,"2,560",216,233,233,235,235,235,234,233,236,235,235,"3,443",728,977,747,991,17,6,8,3,6,3,"20,412"
15-Aug-03,"5,687","3,099","2,115","2,018","1,435",87,69,89,96,71,74,78,89,90,69,50,62,190,89,86,52,94,"2,553",214,233,235,235,235,234,233,233,232,234,235,"3,457",728,986,748,995,17,6,8,3,6,29,"20,416"
16-Aug-03,"5,682","3,102","2,115","2,018","1,433",87,69,89,96,71,74,78,89,88,69,50,62,190,89,86,52,94,"2,551",214,233,235,235,235,234,231,233,232,234,235,"3,457",728,986,748,995,17,6,8,3,6,28,"20,409"
17-Aug-03,"5,680","3,100","2,115","2,018","1,433",87,69,89,96,71,74,78,89,88,69,50,62,190,89,86,52,94,"2,551",214,233,235,235,235,234,231,233,232,234,235,"3,454",727,985,748,994,17,6,8,3,6,28,"20,402"
18-Aug-03,"5,670","3,127","2,101","2,003","1,459",88,69,87,94,74,75,80,90,89,69,50,61,206,89,87,55,96,"2,551",212,235,234,235,235,234,231,233,232,235,235,"3,457",726,990,747,994,17,6,8,3,6,3,"20,394"
19-Aug-03,"5,692","3,129","2,098","2,033","1,457",89,69,87,94,74,75,79,90,89,69,50,61,205,88,87,55,96,"2,553",212,234,234,235,235,234,231,233,235,235,235,"3,447",726,986,746,989,17,6,8,3,6,2,"20,434"
20-Aug-03,"5,690","3,057","2,126","2,026","1,460",89,69,96,91,75,75,79,90,89,68,49,60,204,88,87,55,96,"2,574",235,234,233,235,235,235,231,232,234,235,235,"3,449",725,983,749,992,17,6,8,3,6,5,"20,410"
21-Aug-03,"5,717","3,051","2,124","2,027","1,459",88,68,96,87,75,74,79,90,88,68,53,59,209,87,87,55,96,"2,573",231,234,235,235,235,235,231,233,234,235,235,"3,429",725,983,729,992,20,6,11,3,6,4,"20,410"
22-Aug-03,"5,705","3,027","2,127","2,020","1,450",87,64,95,85,74,74,77,89,87,71,53,57,208,93,87,54,95,"2,573",233,236,233,235,234,235,230,233,234,235,235,"3,444",724,991,736,993,20,6,11,3,6,22,"20,394"
23-Aug-03,"5,705","3,025","2,126","2,020","1,449",87,63,95,84,74,74,78,89,87,71,53,57,208,93,87,54,95,"2,573",233,236,233,235,234,235,230,233,234,235,235,"3,444",724,991,736,993,20,6,11,3,6,23,"20,391"
24-Aug-03,"5,703","3,025","2,126","2,020","1,449",87,63,95,88,74,74,78,89,87,71,49,57,208,93,87,54,95,"2,570",233,235,233,235,232,235,230,233,234,235,235,"3,444",724,991,736,993,20,6,11,3,6,23,"20,386"
