Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,586","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,0,"22,912"
10-Jan-08,"4,310","3,510","3,144","1,751","1,789",91,100,94,100,91,100,96,98,98,92,87,87,257,100,99,98,101,"3,086",294,281,280,280,274,280,280,280,280,278,279,"4,798",971,876,"1,000",0,955,996,13,6,4,3,5,8,"22,414"
11-Jan-08,"4,310","3,512","3,118","1,751","1,669",83,89,88,92,86,93,86,90,98,82,77,81,248,94,92,90,100,"3,084",295,280,280,280,272,279,280,280,280,279,279,"4,798",973,875,"1,000",0,954,996,12,5,4,3,5,122,"22,381"
12-Jan-08,"4,307","3,509","3,118","1,751","1,668",83,89,88,92,86,93,86,90,98,82,77,81,248,94,91,90,100,"3,083",295,280,280,280,272,278,280,280,280,279,279,"4,796",973,875,999,0,953,996,12,5,4,3,5,121,"22,370"
13-Jan-08,"4,306","3,507","3,116","1,751","1,668",83,89,88,92,86,93,86,90,98,82,77,81,248,94,91,90,100,"3,081",294,280,280,280,271,278,280,280,280,279,279,"4,794",972,875,998,0,953,996,12,5,4,3,5,121,"22,361"
14-Jan-08,"4,301","3,494","3,110","1,758","1,777",90,93,96,98,91,99,93,100,100,92,86,91,253,100,97,97,101,"3,077",294,279,280,279,270,278,280,280,279,279,279,"4,786",970,874,996,0,951,995,13,6,4,3,5,6,"22,327"
15-Jan-08,"4,297","3,492","3,110","1,781","1,771",90,92,96,98,91,98,93,99,100,92,85,91,252,99,97,97,101,"3,072",294,279,280,279,265,278,280,280,279,279,279,"4,785",969,874,996,0,951,995,13,6,4,3,5,6,"22,332"
16-Jan-08,"4,284","3,493","3,106","1,794","1,760",90,92,96,98,91,98,92,98,97,92,83,91,252,96,96,97,101,"3,079",294,279,280,279,274,277,280,280,279,279,278,"4,781",969,873,996,0,949,994,12,6,4,2,5,3,"22,317"
17-Jan-08,"4,271","3,491","3,106","1,858","1,755",90,92,96,97,91,98,92,97,97,91,84,90,251,96,96,96,101,"3,074",293,278,279,279,272,277,280,280,279,279,278,"4,773",967,872,995,0,946,993,12,6,4,2,5,3,"22,348"
18-Jan-08,"4,267","3,444","3,115","1,872","1,682",81,97,90,91,88,89,94,90,96,81,82,83,247,92,95,92,94,"3,072",294,278,279,278,272,276,280,280,278,279,278,"4,769",966,872,993,0,945,993,12,6,4,2,5,107,"22,345"
