Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,711","3,099","2,214","2,121","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750",0,"1,000","1,000",750,"1,000",24,6,12,6,6,"21,025"
1-Jan-03,"5,505","3,048","2,109","2,008","1,290",73,69,75,74,73,72,67,75,75,72,64,61,146,73,73,75,73,"2,492",227,228,226,225,226,226,227,227,227,227,226,"3,411",0,727,978,715,991,11,3,7,1,6,"19,880"
2-Jan-03,"5,504","3,068","2,125","1,993","1,285",73,69,75,74,72,72,62,75,75,72,64,61,146,73,73,75,74,"2,495",227,228,227,227,226,227,227,225,227,226,228,"3,410",0,727,977,714,992,11,3,7,1,6,"19,897"
3-Jan-03,"5,494","3,087","2,112","1,964","1,287",75,68,74,74,72,72,62,75,75,74,63,61,146,73,73,75,75,"2,495",227,228,226,226,226,227,226,226,227,228,228,"3,415",0,725,985,713,992,12,4,7,1,6,"19,872"
4-Jan-03,"5,493","3,091","2,112","1,964","1,285",75,68,74,74,72,70,62,75,75,74,63,61,146,73,73,75,75,"2,493",226,228,226,226,226,227,225,226,227,228,228,"3,415",0,725,985,713,992,12,4,7,1,6,"19,871"
5-Jan-03,"5,491","3,091","2,112","1,964","1,285",75,68,74,74,72,70,62,75,75,74,63,61,146,73,73,75,75,"2,492",226,228,226,226,226,227,224,226,227,228,228,"3,415",0,725,985,713,992,12,4,7,1,6,"19,868"
6-Jan-03,"5,491","3,082","2,119","2,004","1,287",75,68,74,75,72,73,62,75,74,74,63,61,145,73,73,75,75,"2,488",225,228,225,226,226,227,224,226,227,227,227,"3,412",0,725,984,711,992,12,4,7,1,6,"19,901"
7-Jan-03,"5,500","3,067","2,114","2,030","1,288",75,68,74,75,74,73,62,75,74,74,62,61,145,73,73,75,75,"2,485",227,226,225,226,224,225,225,226,227,227,227,"3,410",0,725,983,710,992,13,6,6,1,6,"19,913"
8-Jan-03,"5,519","3,026","2,132","2,036","1,280",73,72,74,75,74,69,62,72,72,73,62,61,143,73,75,75,75,"2,476",227,220,219,225,228,226,225,227,226,227,226,"3,405",0,723,981,709,992,13,6,6,1,6,"19,893"
9-Jan-03,"5,528","3,031","2,126","2,026","1,281",73,71,72,75,74,68,63,74,72,73,62,61,146,73,74,75,75,"2,488",227,225,227,225,228,225,225,227,226,227,226,"3,395",0,723,983,699,990,13,6,6,1,6,"19,894"
10-Jan-03,"5,519","3,017","2,136","2,030","1,160",61,68,66,66,64,61,63,69,67,62,58,57,139,63,65,68,63,"2,490",227,225,227,227,227,227,224,227,226,227,226,"3,393",0,723,983,697,990,11,4,6,1,5,"19,761"
11-Jan-03,"5,518","3,018","2,135","2,030","1,162",61,68,66,66,64,61,63,69,67,62,58,57,140,63,66,68,63,"2,489",227,225,227,227,227,227,224,227,225,227,226,"3,392",0,723,982,697,990,11,4,6,1,5,"19,760"
12-Jan-03,"5,515","3,017","2,132","2,030","1,162",61,68,66,66,64,61,63,69,67,62,58,57,140,63,66,68,63,"2,488",226,225,227,227,227,227,224,227,225,227,226,"3,392",0,723,982,697,990,11,4,6,1,5,"19,752"
13-Jan-03,"5,530","3,006","2,121","2,028","1,287",71,72,73,74,73,68,74,75,74,73,62,61,146,75,73,72,71,"2,485",226,225,226,227,226,227,224,227,224,227,226,"3,389",0,722,980,697,990,13,6,6,1,6,"19,865"
