Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,736","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
1-Sep-12,"3,395","3,267","3,173","2,166","1,576",90,73,71,88,68,75,101,79,90,83,91,92,250,99,80,47,99,"4,343",299,366,279,300,278,280,274,279,338,280,280,279,235,276,300,"4,174",0,"1,214","1,000","1,063",897,14,5,6,3,0,6,"22,114"
2-Sep-12,"3,394","3,265","3,172","2,166","1,575",90,73,71,88,68,75,101,80,90,82,90,92,250,99,80,47,99,"4,341",299,366,279,300,278,280,274,279,338,280,279,279,235,276,299,"4,172",0,"1,214",999,"1,062",897,14,5,6,3,0,5,"22,104"
3-Sep-12,"3,391","3,267","3,172","2,166","1,574",90,73,70,88,69,74,101,80,90,82,90,92,250,99,80,47,99,"4,339",299,366,279,299,278,280,274,278,338,280,279,279,235,276,299,"4,169",0,"1,213",999,"1,061",896,14,5,6,3,0,4,"22,096"
4-Sep-12,"3,392","3,268","3,176","2,155","1,562",92,73,70,86,69,74,80,80,89,80,92,91,248,98,80,65,95,"4,350",299,366,280,300,277,280,274,279,340,280,280,279,235,280,301,"4,181",0,"1,216",999,"1,065",901,14,5,6,3,0,4,"22,102"
5-Sep-12,"3,392","3,258","3,183","2,149","1,551",92,72,70,81,74,72,80,79,88,80,92,91,246,97,80,64,93,"4,347",297,368,280,298,280,280,273,280,340,279,280,278,234,280,300,"4,180",0,"1,218",998,"1,059",905,14,5,6,3,0,7,"22,081"
6-Sep-12,"3,395","3,280","3,185","2,135","1,560",92,72,70,81,77,72,76,84,92,80,90,92,253,95,77,64,93,"4,350",297,369,280,300,280,280,274,279,340,279,280,279,234,279,300,"4,182",0,"1,219",998,"1,061",904,15,6,6,3,0,6,"22,108"
7-Sep-12,"3,382","3,294","3,179","2,106","1,536",92,67,68,88,75,72,79,83,91,75,87,90,244,93,77,63,92,"4,347",299,369,280,298,279,280,274,277,339,277,280,280,235,280,300,"4,188",0,"1,222","1,000","1,063",903,15,6,6,3,0,27,"22,074"
8-Sep-12,"3,377","3,291","3,179","2,106","1,533",92,67,68,88,75,72,78,83,91,75,88,88,244,93,77,63,91,"4,339",299,367,280,298,278,279,274,277,338,277,280,280,234,280,298,"4,187",0,"1,222",999,"1,063",903,15,6,6,3,0,29,"22,056"
9-Sep-12,"3,376","3,289","3,177","2,106","1,533",92,67,68,88,75,72,78,83,91,75,88,88,244,93,77,63,91,"4,338",299,367,280,298,278,279,274,277,338,277,280,280,234,279,298,"4,185",0,"1,222",999,"1,063",901,15,6,6,3,0,29,"22,048"
