Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
1-Oct-11,"3,062","3,049","3,199","1,939","1,503",82,82,83,86,85,89,77,90,91,73,55,74,189,87,87,87,86,"3,445",248,232,223,250,224,224,220,224,285,224,224,223,168,224,252,"5,165",899,"1,353",997,"1,025",891,11,4,3,4,5,31,"21,409"
2-Oct-11,"3,062","3,052","3,198","1,939","1,503",82,82,83,86,85,89,77,90,91,73,55,74,189,87,88,87,85,"3,443",248,231,223,250,224,224,220,224,285,224,224,222,168,224,252,"5,165",899,"1,353",997,"1,025",891,11,4,3,4,5,31,"21,409"
3-Oct-11,"3,070","3,057","3,200","1,943","1,516",85,81,82,87,86,91,76,91,90,77,57,73,188,88,92,87,85,"3,441",248,232,223,250,224,223,220,223,285,223,224,223,168,223,252,"5,172",898,"1,356",997,"1,032",889,10,3,3,4,5,4,"21,418"
4-Oct-11,"3,058","3,024","3,204","1,954","1,517",85,81,82,85,88,92,76,91,89,77,57,74,188,88,92,87,85,"3,490",250,231,222,250,224,224,220,224,284,222,223,223,218,223,252,"5,177",898,"1,356",999,"1,035",889,10,3,3,4,5,4,"21,443"
5-Oct-11,"3,053","3,030","3,205","1,956","1,521",84,81,85,86,86,91,76,91,89,78,57,75,190,89,91,87,85,"3,501",250,234,223,250,224,224,219,224,284,223,226,224,218,226,252,"5,185",901,"1,354",999,"1,035",896,10,3,3,4,5,3,"21,469"
6-Oct-11,"3,043","3,037","3,197","1,953","1,526",83,84,86,87,90,91,76,90,85,76,56,79,190,91,90,87,85,"3,487",249,234,223,249,223,222,219,223,283,223,224,223,215,225,252,"5,193",902,"1,357",996,"1,042",896,11,3,4,4,5,4,"21,456"
7-Oct-11,"3,035","2,996","3,204","1,984","1,482",82,79,79,84,87,84,75,90,85,75,62,79,187,83,87,83,81,"3,492",250,234,224,249,223,224,219,224,284,223,225,224,214,224,251,"5,200",901,"1,360",999,"1,043",897,10,3,4,3,5,57,"21,465"
8-Oct-11,"3,035","2,998","3,207","1,984","1,478",82,79,79,82,86,83,75,90,85,75,62,79,187,83,87,83,81,"3,490",250,234,224,249,223,224,219,224,284,223,224,224,214,224,250,"5,195",901,"1,358",998,"1,042",896,10,3,4,3,5,57,"21,459"
9-Oct-11,"3,035","2,997","3,207","1,984","1,477",82,79,79,82,86,83,75,90,85,75,62,78,187,83,87,83,81,"3,489",249,234,224,249,223,224,219,224,284,223,224,224,214,224,250,"5,192",899,"1,357",998,"1,042",896,10,3,4,3,5,57,"21,453"
