date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
11-Oct-01,"5,223","3,017","2,055","1,620","1,235",72,73,74,74,74,75,74,72,74,70,46,52,114,75,69,74,73,"2,037",207,199,199,196,212,224,199,200,201,200,"3,505",842,499,870,407,887,14,6,8,0,6,"18,712"
12-Oct-01,"5,218","2,988","2,078","1,609","1,212",70,69,73,74,71,73,74,69,74,67,45,49,114,71,75,74,70,"2,034",206,199,200,195,212,223,199,200,200,200,"3,506",842,499,869,411,885,13,5,8,0,6,"18,664"
13-Oct-01,"5,213","2,986","2,077","1,608","1,212",70,69,73,74,71,73,74,69,74,67,45,49,114,71,75,74,70,"2,033",206,199,200,195,211,223,199,200,200,200,"3,504",842,498,869,411,884,13,5,8,0,6,"18,652"
14-Oct-01,"5,211","2,985","2,077","1,609","1,211",70,69,73,73,71,73,74,69,74,67,45,49,113,71,75,74,71,"2,033",206,199,200,195,211,223,199,200,200,200,"3,504",842,498,869,411,884,14,5,8,1,6,"18,650"
15-Oct-01,"5,231","2,988","2,072","1,619","1,248",74,75,74,74,74,75,75,75,74,74,44,51,112,75,75,74,73,"2,018",206,199,199,190,210,221,198,199,198,198,"3,502",842,498,867,411,884,15,6,8,1,6,"18,699"
16-Oct-01,"5,230","2,980","2,092","1,627","1,247",75,75,74,73,74,75,75,75,74,74,44,50,111,75,75,73,75,"2,014",206,198,200,187,210,221,198,199,197,198,"3,499",842,498,866,409,884,15,6,8,1,6,"18,710"
17-Oct-01,"5,239","2,976","2,094","1,648","1,249",75,75,74,73,74,75,75,75,74,74,46,52,111,75,74,72,75,"2,012",206,198,200,188,210,221,198,199,196,196,"3,498",842,497,864,409,886,15,6,8,1,6,"18,737"
18-Oct-01,"5,243","3,000","2,077","1,637","1,241",73,74,74,73,72,75,73,75,74,74,46,51,111,75,74,72,75,"2,029",206,199,200,196,212,226,197,199,196,198,"3,503",841,496,862,412,892,15,6,8,1,6,"18,751"
19-Oct-01,"5,262","3,030","2,057","1,600","1,196",68,71,71,71,71,73,66,69,71,71,46,47,109,75,71,71,75,"2,032",206,199,199,196,212,226,198,199,199,198,"3,503",841,496,862,412,892,13,5,7,1,5,"18,698"
20-Oct-01,"5,261","3,030","2,057","1,598","1,196",68,71,71,71,71,73,66,69,71,71,46,47,109,75,71,71,75,"2,031",205,199,199,196,212,226,198,199,199,198,"3,502",841,496,862,412,891,13,5,7,1,5,"18,693"
