Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
19-Oct-14,"3,265","2,359",32,82,"2,845","1,566","1,049",90,44,46,47,40,42,48,51,49,66,81,58,166,94,43,42,42,"4,275",299,369,274,300,267,269,264,259,336,269,278,277,277,261,276,"4,228",0,"1,185",996,"1,233",814,5,3,1,1,0,0,"19,706"
20-Oct-14,"3,263","2,363",34,86,"2,847","1,572","1,059",91,44,45,50,41,43,49,51,50,67,81,58,169,93,43,42,42,"4,269",298,367,274,299,271,268,264,259,335,269,280,276,274,258,277,"4,228",0,"1,187",996,"1,230",815,5,3,1,1,0,0,"19,726"
21-Oct-14,"3,244","2,364",34,104,"2,814","1,588","1,062",88,44,44,50,41,42,52,50,49,67,80,58,169,92,46,40,50,"4,281",295,368,274,296,279,270,264,260,339,265,280,279,274,259,279,"4,247",0,"1,190",995,"1,236",826,5,3,1,1,0,0,"19,743"
22-Oct-14,"3,240","2,370",34,103,"2,816","1,576","1,065",87,45,43,53,41,42,52,48,49,67,81,57,168,94,49,39,50,"4,271",294,367,276,293,277,267,264,262,341,261,280,279,271,259,280,"4,251",0,"1,191",995,"1,243",822,5,3,1,1,0,0,"19,731"
23-Oct-14,"3,215","2,354",34,97,"2,833","1,573","1,084",92,50,46,53,41,42,52,48,46,67,79,57,169,95,51,46,50,"4,254",291,366,274,293,271,265,264,263,345,256,279,278,270,257,282,"4,253",0,"1,186",995,"1,242",830,5,3,1,1,0,0,"19,702"
24-Oct-14,"3,191","2,306",34,100,"2,827","1,588","1,077",92,50,47,52,38,47,51,48,45,66,77,57,168,95,50,45,49,"4,288",299,365,272,300,274,265,271,264,340,260,278,277,270,262,291,"4,273",0,"1,188","1,000","1,246",839,4,3,1,0,0,0,"19,688"
25-Oct-14,"3,190","2,304",34,100,"2,826","1,588","1,075",92,50,47,52,38,46,51,48,46,66,77,57,167,95,50,45,48,"4,287",299,364,272,300,274,265,271,264,340,260,278,277,270,262,291,"4,272",0,"1,187","1,000","1,246",839,4,3,1,0,0,0,"19,680"
26-Oct-14,"3,188","2,304",34,98,"2,825","1,578","1,083",92,50,47,52,38,46,51,48,46,66,87,57,166,95,50,44,48,"4,283",299,365,271,300,273,265,271,263,340,260,278,277,270,260,291,"4,271",0,"1,187","1,000","1,246",838,4,3,1,0,0,0,"19,668"
27-Oct-14,"3,193","2,341",34,93,"2,830","1,545","1,078",92,50,47,52,42,49,51,48,46,64,77,56,169,95,48,44,48,"4,255",298,363,269,298,271,264,271,263,336,257,276,275,268,259,287,"4,262",0,"1,187","1,000","1,246",829,5,3,1,1,0,0,"19,636"
