Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
11-Aug-01,"5,295","3,037","1,953","1,476","1,209",70,70,72,74,74,70,71,74,72,73,59,44,108,70,69,66,73,"2,013",208,193,192,194,213,224,201,197,193,198,"3,483",843,497,868,404,871,18,6,11,1,6,"18,490"
12-Aug-01,"5,293","3,037","1,953","1,469","1,208",70,70,72,74,73,70,71,74,72,73,58,44,108,70,69,67,73,"2,013",208,193,192,194,213,224,201,197,193,198,"3,482",843,497,867,404,871,18,6,11,1,6,"18,479"
13-Aug-01,"5,285","2,998","1,975","1,498","1,236",73,72,74,75,73,74,73,75,74,75,61,46,110,67,75,66,73,"2,005",207,193,191,194,212,224,200,196,192,196,"3,482",842,496,866,407,871,18,6,11,1,6,"18,503"
14-Aug-01,"5,281","2,980","1,996","1,499","1,242",74,72,75,73,74,74,73,75,73,75,58,46,109,71,75,73,72,"2,001",207,192,191,194,211,224,200,196,191,195,"3,472",841,496,864,407,864,18,6,11,1,6,"18,495"
15-Aug-01,"5,294","2,985","1,993","1,504","1,242",74,70,75,73,74,74,73,75,73,75,59,46,109,71,75,73,73,"2,002",207,192,190,199,210,222,200,196,191,195,"3,465",840,495,862,406,862,18,6,11,1,6,"18,509"
16-Aug-01,"5,271","2,988","1,986","1,500","1,228",71,68,72,72,75,73,74,75,72,73,58,46,106,74,73,73,73,"2,020",208,191,197,197,210,221,200,200,199,197,"3,454",838,493,860,399,864,18,6,11,1,6,"18,471"
17-Aug-01,"5,232","2,984","1,978","1,506","1,204",74,67,72,67,72,68,74,70,70,72,57,42,109,71,71,74,74,"2,025",208,199,196,195,207,224,200,200,199,197,"3,482",842,496,858,398,888,18,6,11,1,6,"18,435"
18-Aug-01,"5,230","2,985","1,979","1,506","1,203",74,67,72,66,72,68,74,70,71,72,57,42,109,70,71,74,74,"2,025",208,199,196,195,207,224,200,200,199,197,"3,482",842,496,858,398,888,18,6,11,1,6,"18,434"
19-Aug-01,"5,228","2,983","1,980","1,506","1,201",74,67,72,65,72,68,74,70,71,72,56,42,108,71,71,74,74,"2,025",208,199,196,195,207,224,200,200,199,197,"3,480",840,496,858,398,888,18,6,11,1,6,"18,427"
20-Aug-01,"5,211","2,975","2,002","1,536","1,234",75,68,75,68,74,75,74,75,72,73,57,46,109,73,73,75,72,"2,025",208,199,194,199,207,221,200,201,199,197,"3,481",840,496,858,400,887,18,6,11,1,6,"18,488"
