Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,824",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,408"
19-Jan-16,"3,227",15,"2,755",30,18,"2,675",10,"1,183",988,0,43,68,58,58,44,0,36,70,81,72,74,149,0,44,84,54,53,"3,887",0,349,267,259,270,272,250,273,332,267,279,275,240,275,279,"3,896",0,"1,127",999,922,848,11,3,6,2,"18,695"
20-Jan-16,"3,226",14,"2,768",30,18,"2,669",10,"1,189",985,0,43,68,58,58,44,0,36,70,81,72,73,147,0,44,84,54,53,"3,889",0,348,266,259,277,272,250,273,332,267,279,276,238,273,279,"3,883",0,"1,127",998,921,837,11,3,6,2,"18,692"
21-Jan-16,"3,222",14,"2,729",30,17,"2,690",10,"1,220",981,0,43,68,58,60,43,0,36,70,81,73,73,145,0,44,82,53,52,"3,876",0,347,266,259,273,272,248,273,331,267,279,274,237,272,278,"3,888",0,"1,141",997,921,829,11,3,6,2,"18,688"
22-Jan-16,"3,243",14,"2,661",30,14,"2,674",10,"1,263",980,0,43,65,59,60,38,0,35,79,77,72,72,152,0,44,81,53,50,"3,847",0,347,244,257,272,272,245,272,331,268,279,273,237,272,278,"3,908",0,"1,141",997,919,851,9,3,4,2,"18,653"
23-Jan-16,"3,242",14,"2,659",30,16,"2,674",10,"1,263",978,0,43,65,59,60,38,0,35,79,77,72,72,152,0,42,81,53,50,"3,846",0,347,244,257,272,272,245,272,331,268,279,273,237,271,278,"3,906",0,"1,140",996,919,851,9,3,4,2,"18,647"
24-Jan-16,"3,244",14,"2,659",30,16,"2,673",10,"1,263",976,0,43,65,59,60,38,0,35,79,77,72,70,152,0,42,81,53,50,"3,846",0,347,244,257,272,272,245,272,331,268,279,273,237,271,278,"3,905",0,"1,140",996,918,851,9,3,4,2,"18,645"
25-Jan-16,"3,246",14,"2,570",29,13,"2,678",9,"1,275","1,003",0,43,74,62,62,41,0,36,80,81,73,71,156,0,42,77,53,52,"3,935",0,357,263,257,269,271,264,277,351,268,280,272,236,276,294,"3,914",0,"1,150",996,917,851,10,3,5,2,"18,696"
,"3,264",14,"2,551",29,0,"2,693",9,"1,275",999,0,34,74,61,61,41,0,29,83,79,73,78,144,13,37,83,57,52,"3,930",0,352,263,256,275,270,255,273,350,278,280,276,235,274,293,"3,935",0,"1,149",996,939,851,10,3,5,2,"18,709"
26-Jan-16 27-Jan-16,"3,296",20,"2,541",28,0,"2,706",0,"1,257",996,0,34,74,61,61,40,0,28,83,81,73,81,144,13,34,81,56,52,"3,940",0,361,263,255,274,269,259,275,348,277,280,278,235,270,296,"3,933",0,"1,148",997,936,852,9,2,5,2,"18,726"
