date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,690","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,472",972,"1,000","1,000","1,500","1,000",16,6,6,4,6,0,"23,516"
10-Sep-08,"4,184","3,600","3,078","2,236","1,782",91,98,95,101,97,101,95,100,97,90,92,92,247,95,102,97,92,"3,082",293,280,279,280,274,279,279,279,279,280,280,"4,876",972,895,"1,000","1,026",983,11,6,4,1,6,11,"22,866"
11-Sep-08,"4,187","3,591","3,068","2,232","1,782",91,101,94,100,96,101,102,102,95,88,92,91,246,94,101,96,92,"3,086",293,281,280,280,275,280,280,278,280,280,279,"4,902",972,895,"1,000","1,048",987,11,6,4,1,6,11,"22,876"
12-Sep-08,"4,196","3,569","3,074","2,231","1,742",85,99,90,97,95,101,98,99,100,86,89,88,237,93,101,95,89,"3,087",293,281,280,280,275,281,280,280,280,278,279,"4,895",970,894,"1,000","1,044",987,9,5,4,0,6,55,"22,864"
13-Sep-08,"4,194","3,570","3,074","2,231","1,741",84,99,90,97,95,101,98,99,100,86,89,88,237,93,101,95,89,"3,083",293,279,280,280,275,280,280,280,280,278,278,"4,890",969,892,999,"1,044",986,9,5,4,0,6,53,"22,851"
14-Sep-08,"4,193","3,570","3,072","2,231","1,742",84,99,90,97,95,101,98,99,100,86,89,88,238,93,101,95,89,"3,082",293,279,280,280,274,280,280,280,280,278,278,"4,888",969,891,998,"1,044",986,9,5,4,0,6,52,"22,845"
15-Sep-08,"4,182","3,561","3,061","2,230","1,790",91,100,92,100,95,101,100,102,101,88,91,91,246,95,102,96,99,"3,086",294,279,280,280,274,280,280,280,281,278,280,"4,910",970,893,998,"1,059",990,11,6,4,1,6,8,"22,845"
16-Sep-08,"4,166","3,538","3,068","2,223","1,802",91,100,92,101,95,102,100,102,101,89,89,93,246,102,102,96,101,"3,082",294,276,281,280,274,278,279,280,281,280,279,"4,944",971,894,999,"1,089",991,11,6,4,1,6,5,"22,845"
17-Sep-08,"4,158","3,552","3,080","2,205","1,802",89,100,96,102,94,102,100,102,101,89,90,91,246,101,102,96,101,"3,081",294,277,281,280,273,277,280,280,281,280,278,"4,944",971,898,998,"1,085",992,11,6,4,1,6,5,"22,844"
18-Sep-08,"4,142","3,548","3,088","2,212","1,816",92,98,96,101,101,102,102,101,101,89,90,92,245,101,101,102,102,"3,080",294,279,280,280,272,275,280,280,281,279,280,"4,957",970,897,997,"1,102",991,11,6,4,1,6,6,"22,866"
