date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Feb-04,"5,619","3,257","2,065","1,915","1,477",83,87,92,68,61,55,74,97,101,87,41,76,210,95,94,62,94,"2,744",250,250,250,250,250,248,249,249,248,250,250,"3,441",726,992,734,989,13,6,5,2,5,59,"20,595"
2-Feb-04,"5,642","3,258","2,060","1,919","1,524",88,87,92,69,64,56,79,97,102,89,43,78,216,100,98,68,98,"2,743",250,250,250,250,248,250,249,249,248,250,249,"3,436",726,993,733,984,13,6,5,2,5,4,"20,604"
3-Feb-04,"5,640","3,266","2,072","1,961","1,519",88,85,92,69,64,56,78,97,102,89,45,77,214,100,98,67,98,"2,736",250,250,247,250,246,250,249,250,245,250,249,"3,447",730,991,732,994,13,6,5,2,5,4,"20,663"
4-Feb-04,"5,663","3,251","2,050","1,998","1,532",91,85,93,70,67,57,78,97,102,92,44,73,212,101,98,70,102,"2,743",250,250,248,250,246,250,250,250,250,249,250,"3,447",729,991,734,993,13,6,5,2,5,5,"20,707"
5-Feb-04,"5,678","3,212","2,064","2,007","1,528",91,85,94,70,67,58,77,96,101,92,44,73,209,101,98,70,102,"2,746",249,250,249,250,249,249,250,250,250,250,250,"3,448",729,993,733,993,13,6,5,2,5,0,"20,701"
6-Feb-04,"5,676","3,216","2,055","1,998","1,495",87,84,91,69,73,53,71,101,101,89,44,73,203,94,94,69,99,"2,736",250,250,249,249,242,249,248,250,249,250,250,"3,442",731,991,729,991,13,6,5,2,5,53,"20,689"
7-Feb-04,"5,674","3,216","2,053","1,998","1,495",87,84,91,69,73,53,71,101,101,89,44,73,203,94,94,69,99,"2,735",250,250,249,249,242,249,248,250,248,250,250,"3,441",730,991,729,991,13,6,5,2,5,53,"20,683"
8-Feb-04,"5,673","3,215","2,053","1,998","1,495",87,84,91,69,74,53,71,101,101,89,44,72,203,94,94,69,99,"2,734",250,250,249,249,241,249,248,250,248,250,250,"3,441",730,991,729,991,13,6,5,2,5,53,"20,680"
9-Feb-04,"5,676","3,185","2,088","2,016","1,536",87,85,96,70,77,58,71,101,101,92,44,74,208,102,97,71,102,"2,740",250,249,249,248,249,249,248,250,248,250,250,"3,438",730,988,729,991,13,6,5,2,5,3,"20,700"
10-Feb-04,"5,684","3,171","2,083","2,067","1,531",85,85,95,69,78,66,70,100,100,91,50,76,198,100,96,71,101,"2,723",250,249,240,246,249,248,248,249,248,246,250,"3,422",727,986,721,988,13,6,5,2,5,3,"20,702"
11-Feb-04,"5,678","3,151","2,090","2,069","1,544",86,85,95,72,78,66,71,102,102,91,49,78,198,101,98,71,101,"2,736",249,249,249,247,247,249,249,250,250,249,248,"3,411",728,984,719,980,13,6,5,2,5,2,"20,699"
12-Feb-04,"5,658","3,147","2,071","2,071","1,585",91,94,96,76,78,74,77,102,102,91,49,82,201,102,98,71,101,"2,739",249,249,248,250,247,249,249,250,250,250,248,"3,426",728,986,718,994,13,6,5,2,5,0,"20,715"
