Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,690","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,472",972,"1,000","1,000","1,500","1,000",16,6,6,4,6,0,"23,516"
1-Sep-08,"4,188","3,641","3,117","2,097","1,782",90,101,92,102,99,102,98,98,99,86,87,91,249,101,100,95,92,"3,083",294,280,279,280,273,280,280,280,278,280,279,"4,844",967,897,999,"1,001",980,10,5,4,1,6,6,"22,774"
2-Sep-08,"4,184","3,649","3,109","2,114","1,769",89,101,92,102,97,102,98,98,97,86,85,90,247,100,100,93,92,"3,079",293,280,279,280,273,280,279,280,277,279,279,"4,842",967,897,999,"1,000",979,10,5,4,1,6,8,"22,770"
3-Sep-08,"4,180","3,623","3,121","2,165","1,762",89,101,92,99,97,102,98,98,96,86,88,90,245,98,99,92,92,"3,077",293,279,281,280,269,280,278,279,278,280,280,"4,843",967,899,999,999,979,10,5,4,1,6,11,"22,798"
4-Sep-08,"4,194","3,587","3,120","2,176","1,778",92,101,94,102,97,102,97,98,95,91,88,91,245,100,99,91,95,"3,080",294,280,281,280,270,277,279,280,280,280,279,"4,837",971,898,998,992,978,11,6,4,1,6,7,"22,796"
5-Sep-08,"4,189","3,602","3,110","2,206","1,750",86,102,93,96,95,98,96,99,93,89,85,90,246,100,100,91,91,"3,086",291,280,280,280,274,283,280,280,280,280,278,"4,838",969,896,"1,000",994,979,8,5,2,1,6,52,"22,847"
6-Sep-08,"4,188","3,602","3,108","2,206","1,751",86,102,93,96,95,98,96,99,93,89,86,90,246,100,100,91,91,"3,084",291,279,280,280,274,283,280,280,279,280,278,"4,835",969,894,"1,000",994,978,8,5,2,1,6,49,"22,837"
7-Sep-08,"4,185","3,604","3,109","2,206","1,751",86,102,94,97,94,98,95,99,97,89,86,90,246,96,100,91,91,"3,082",291,279,279,280,274,282,280,280,279,280,278,"4,834",969,894,"1,000",994,977,8,5,2,1,6,48,"22,833"
8-Sep-08,"4,192","3,591","3,104","2,209","1,785",89,102,95,101,101,101,96,101,94,90,89,91,249,102,102,88,94,"3,084",293,281,278,280,272,282,280,280,279,280,279,"4,842",968,894,"1,000",994,986,11,6,4,1,6,17,"22,841"
9-Sep-08,"4,190","3,584","3,082","2,219","1,789",92,101,95,101,99,102,94,100,97,90,92,91,245,96,102,98,94,"3,075",293,280,278,275,271,281,279,280,278,280,280,"4,871",971,895,"1,000","1,022",983,11,6,4,1,6,6,"22,833"
