date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
10-Nov-11,"3,076","3,087","3,198","2,057","1,475",87,86,77,76,80,82,77,87,90,79,65,58,191,95,86,72,87,"3,496",250,233,224,249,224,224,220,225,284,224,226,223,215,224,251,"5,158",900,"1,348",997,"1,030",883,10,4,3,3,5,5,"21,567"
11-Nov-11,"3,076","3,085","3,196","2,062","1,412",79,81,75,76,78,77,72,86,88,73,61,52,189,93,77,71,84,"3,491",250,232,223,249,224,223,219,225,284,224,226,223,215,224,250,"5,155",900,"1,348",997,"1,027",883,9,3,3,3,5,65,"21,556"
12-Nov-11,"3,075","3,082","3,196","2,062","1,410",79,81,75,76,78,77,72,86,87,73,61,53,187,93,77,71,84,"3,486",249,232,223,249,224,223,219,224,284,224,226,223,215,221,250,"5,153",899,"1,347",997,"1,027",883,9,3,3,3,5,67,"21,545"
13-Nov-11,"3,075","3,082","3,195","2,062","1,410",79,81,75,76,78,77,72,86,87,73,61,53,187,93,77,71,84,"3,484",249,231,223,249,224,223,219,224,284,224,225,223,215,221,250,"5,150",898,"1,346",997,"1,026",883,9,3,3,3,5,67,"21,539"
14-Nov-11,"3,083","3,071","3,198","2,066","1,464",85,90,83,74,80,81,76,87,90,78,62,56,189,91,84,71,87,"3,480",248,231,223,247,224,224,219,224,284,224,225,223,212,221,251,"5,153",900,"1,348","1,000","1,024",881,10,4,3,3,5,7,"21,537"
15-Nov-11,"3,076","3,095","3,190","2,050","1,475",85,91,82,74,79,85,75,92,87,78,62,57,190,91,90,71,86,"3,486",249,234,224,246,224,223,219,224,283,224,225,224,212,224,251,"5,154",901,"1,345","1,000","1,024",884,10,4,3,3,5,3,"21,544"
16-Nov-11,"3,077","3,073","3,188","2,018","1,471",83,90,81,73,82,84,74,90,86,78,62,57,189,91,90,74,87,"3,530",249,234,224,250,224,224,224,224,283,224,225,225,245,224,251,"5,152",899,"1,346",999,"1,024",884,10,4,3,3,5,3,"21,527"
17-Nov-11,"3,092","3,066","3,180","1,989","1,474",84,86,85,73,80,83,73,90,87,79,61,57,190,95,90,74,87,"3,527",250,233,224,249,224,224,225,224,283,224,222,226,244,224,251,"5,166",902,"1,346",998,"1,033",887,9,4,3,2,5,3,"21,511"
18-Nov-11,"3,081","3,031","3,185","1,999","1,496",84,86,81,82,79,84,77,90,94,78,61,67,191,92,90,73,87,"3,523",249,235,224,248,223,224,221,224,283,223,224,226,243,225,251,"5,139",901,"1,344","1,000","1,009",885,9,4,3,2,5,5,"21,473"
