date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
1-Jul-15,"3,092",96,"2,517",23,142,"2,518",98,"1,192","1,161",54,70,51,53,57,60,0,53,66,72,82,62,195,86,69,52,79,"4,185",297,364,262,300,263,262,245,261,327,266,274,274,228,268,294,"3,909",0,"1,133",996,924,856,14,5,6,3,"18,947"
2-Jul-15,"3,105",96,"2,518",23,139,"2,530",94,"1,205","1,153",54,69,50,54,55,60,0,53,65,72,81,62,195,83,69,52,79,"4,200",300,366,262,300,260,262,256,262,328,267,273,277,226,268,293,"3,888",0,"1,133",996,918,841,14,5,6,3,"18,965"
3-Jul-15,"3,106",96,"2,517",23,139,"2,530",94,"1,207","1,152",54,69,50,54,54,60,0,52,65,72,81,62,196,83,69,52,79,"4,195",300,366,262,300,260,262,256,260,328,267,273,277,225,268,291,"3,886",0,"1,133",995,918,840,14,5,6,3,"18,959"
4-Jul-15,"3,107",96,"2,514",23,138,"2,530",91,"1,215","1,151",54,69,50,54,54,59,0,52,65,72,81,62,196,83,69,52,79,"4,195",300,366,262,300,260,262,256,260,328,267,273,277,225,268,291,"3,886",0,"1,133",995,918,840,14,5,6,3,"18,960"
5-Jul-15,"3,106",96,"2,514",23,138,"2,530",91,"1,199","1,152",54,69,50,54,54,60,0,52,65,72,81,62,196,83,69,52,79,"4,195",300,366,262,300,260,262,256,260,328,267,273,277,225,268,291,"3,886",0,"1,133",995,918,840,14,5,6,3,"18,944"
6-Jul-15,"3,116",93,"2,502",23,140,"2,520",94,"1,199","1,137",54,67,48,54,52,58,0,52,71,72,74,61,194,82,69,52,77,"4,190",299,368,259,300,257,262,254,256,336,266,274,276,225,266,292,"3,879",0,"1,131",992,918,838,14,5,6,3,"18,907"
7-Jul-15,"3,115",93,"2,503",23,136,"2,521",100,"1,184","1,137",53,67,53,54,52,58,0,50,71,72,74,61,195,82,66,52,77,"4,213",299,369,269,300,260,257,269,256,336,267,274,275,225,268,289,"3,880",0,"1,132",993,918,837,14,5,6,3,"18,919"
8-Jul-15,"3,120",85,"2,522",23,142,"2,526",98,"1,197","1,134",52,68,53,54,52,57,0,50,70,73,73,63,194,82,66,50,77,"4,219",298,369,269,298,259,265,269,254,336,271,272,274,225,271,289,"3,879",0,"1,132",993,917,837,14,5,6,3,"18,959"
9-Jul-15,"3,111",85,"2,561",23,137,"2,532",97,"1,181","1,127",50,67,52,56,52,59,0,48,70,76,77,62,191,78,66,48,75,"4,214",299,368,268,298,259,264,265,255,343,270,272,274,225,268,286,"3,846",0,"1,131",993,915,807,14,5,6,3,"18,928"
