Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,736","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
19-Sep-12,"3,380","3,307","3,196","2,132","1,524",92,73,79,85,74,70,80,71,88,77,92,80,236,95,78,60,94,"4,353",298,368,280,300,279,279,273,280,340,280,280,278,239,280,299,"4,188",0,"1,216","1,000","1,067",905,14,5,6,3,0,9,"22,103"
20-Sep-12,"3,380","3,297","3,200","2,150","1,534",92,73,78,85,74,69,79,70,87,79,92,81,245,95,78,58,99,"4,355",298,367,280,300,280,280,272,280,340,280,280,279,239,280,300,"4,189",0,"1,217","1,000","1,067",905,14,5,6,3,0,9,"22,128"
21-Sep-12,"3,371","3,305","3,196","2,151","1,498",91,71,75,85,68,65,76,65,90,73,90,80,244,94,78,58,95,"4,357",300,368,279,300,280,279,273,280,341,279,280,279,239,280,300,"4,191",0,"1,216","1,000","1,068",907,14,5,6,3,0,55,"22,138"
22-Sep-12,"3,370","3,300","3,193","2,151","1,496",91,71,76,85,68,65,75,65,90,73,90,80,243,94,78,57,95,"4,353",300,368,279,300,280,279,273,280,340,278,280,279,238,280,299,"4,190",0,"1,216","1,000","1,067",907,14,5,6,3,0,57,"22,124"
23-Sep-12,"3,370","3,301","3,193","2,151","1,495",91,71,76,85,68,65,75,65,90,73,89,80,243,94,78,57,95,"4,351",300,367,279,300,280,279,273,280,340,278,280,279,238,279,299,"4,189",0,"1,216","1,000","1,067",906,14,5,6,3,0,55,"22,119"
24-Sep-12,"3,370","3,325","3,188","2,150","1,534",91,73,78,85,76,70,78,70,91,79,92,80,241,98,77,57,98,"4,353",300,368,279,300,280,280,273,280,339,280,280,279,237,279,299,"4,181",0,"1,211","1,000","1,064",906,14,5,6,3,0,9,"22,124"
25-Sep-12,"3,367","3,331","3,199","2,179","1,524",91,73,78,85,74,70,78,70,92,79,93,76,239,98,76,55,97,"4,353",300,369,277,300,279,280,275,279,339,280,280,280,235,279,301,"4,183",0,"1,208","1,000","1,068",907,14,5,6,3,0,10,"22,160"
26-Sep-12,"3,378","3,332","3,193","2,197","1,535",91,73,78,86,74,70,78,75,90,79,93,76,244,97,77,56,98,"4,348",300,368,276,300,279,280,274,279,339,280,280,280,234,279,300,"4,177",0,"1,206","1,000","1,065",906,14,5,6,3,0,11,"22,185"
27-Sep-12,"3,378","3,356","3,183","2,192","1,538",91,73,80,85,73,71,78,76,90,79,93,78,243,96,77,56,99,"4,355",300,368,280,299,279,280,273,279,339,279,280,280,239,280,300,"4,170",0,"1,202","1,000","1,064",904,14,5,6,3,0,10,"22,196"
