date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
1-Dec-15,"3,258",81,"2,657",28,90,"2,714",84,"1,314","1,065",0,76,47,52,50,60,0,69,70,74,72,70,174,64,0,74,53,60,"3,699",0,320,268,252,255,278,257,259,314,234,265,276,215,241,265,"3,895",0,"1,117",992,892,894,12,4,6,2,"18,897"
2-Dec-15,"3,265",77,"2,690",28,85,"2,719",84,"1,323","1,070",0,74,54,53,64,44,0,72,70,74,73,69,174,62,0,74,53,60,"3,681",0,319,267,251,256,277,255,259,306,234,265,275,215,243,259,"3,893",0,"1,116",992,891,894,12,4,6,2,"18,927"
3-Dec-15,"3,286",77,"2,705",28,83,"2,762",81,"1,290","1,068",0,73,51,51,61,44,0,74,72,77,82,69,174,51,0,74,54,61,"3,670",0,317,256,252,255,276,253,256,315,233,264,273,215,247,258,"3,883",0,"1,114",990,890,889,9,3,5,1,"18,942"
4-Dec-15,"3,301",75,"2,682",28,84,"2,726",78,"1,304","1,061",0,73,67,53,65,45,0,75,71,77,80,69,175,20,0,74,55,62,"3,691",0,317,257,253,254,277,254,257,315,236,265,276,215,248,267,"3,904",0,"1,117","1,000",898,889,12,4,6,2,"18,946"
5-Dec-15,"3,303",75,"2,680",28,84,"2,726",77,"1,304","1,060",0,73,67,53,65,45,0,75,71,77,80,68,175,20,0,74,55,62,"3,688",0,317,257,253,254,277,254,257,314,235,264,276,215,248,267,"3,902",0,"1,117","1,000",896,889,12,4,6,2,"18,939"
6-Dec-15,"3,340",37,"2,682",28,84,"2,724",77,"1,304","1,059",0,73,67,53,65,44,0,75,71,77,80,68,175,20,0,74,55,62,"3,688",0,317,257,253,254,277,254,257,314,235,264,276,215,248,267,"3,902",0,"1,117","1,000",896,889,12,4,6,2,"18,937"
7-Dec-15,"3,308",73,"2,725",28,65,"2,722",75,"1,298","1,069",0,72,66,54,65,43,0,74,75,77,81,62,173,0,28,74,62,63,"3,669",0,317,256,252,252,274,254,256,311,231,264,276,212,247,267,"3,893",0,"1,115",999,892,887,12,4,6,2,"18,937"
8-Dec-15,"3,305",88,"2,758",28,21,"2,720",57,"1,300","1,108",0,56,65,57,67,43,0,73,74,85,81,62,179,0,58,82,62,64,"3,678",0,327,265,252,252,273,254,254,310,229,262,275,211,247,267,"3,890",0,"1,114",998,891,887,12,4,6,2,"18,965"
9-Dec-15,"3,305",61,"2,797",29,20,"2,722",55,"1,273","1,126",0,54,65,57,67,43,0,72,72,85,83,62,174,0,84,82,62,64,"3,684",0,327,264,251,252,274,254,253,314,232,263,274,211,248,267,"3,885",0,"1,113",997,891,884,12,4,6,2,"18,969"
