Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
14-Jul-03,"5,625","3,152","2,144","2,057","1,400",85,68,75,95,73,74,74,93,90,69,55,67,166,77,88,63,88,"2,575",233,234,233,232,235,235,235,236,234,233,235,"3,434",727,991,725,991,16,5,8,3,6,5,"20,414"
15-Jul-03,"5,662","3,145","2,140","2,067","1,399",85,68,73,95,73,74,74,93,89,69,55,67,166,78,89,63,88,"2,575",233,234,233,232,235,235,235,236,234,233,235,"3,432",727,990,724,991,16,5,8,3,6,6,"20,448"
16-Jul-03,"5,667","3,144","2,132","2,070","1,403",85,68,76,95,73,74,72,92,89,71,55,67,167,78,89,63,89,"2,586",234,235,235,236,234,235,235,235,235,237,235,"3,429",725,988,724,992,16,5,8,3,6,5,"20,458"
17-Jul-03,"5,657","3,155","2,148","2,073","1,405",87,68,76,95,73,74,72,91,93,69,56,67,166,78,89,63,88,"2,583",237,235,235,235,235,235,235,234,234,233,235,"3,426",724,983,729,990,16,5,8,3,6,5,"20,474"
18-Jul-03,"5,673","3,136","2,143","2,077","1,356",84,67,75,95,71,70,66,89,87,68,55,64,157,74,89,62,83,"2,587",237,235,237,236,236,234,234,234,233,236,235,"3,436",724,994,731,987,13,3,8,2,5,54,"20,480"
19-Jul-03,"5,671","3,137","2,142","2,074","1,356",84,67,75,95,71,70,66,89,87,68,55,64,157,74,89,62,83,"2,586",237,235,236,236,236,234,234,234,233,236,235,"3,435",724,993,731,987,13,3,8,2,5,53,"20,472"
20-Jul-03,"5,670","3,138","2,140","2,074","1,357",84,67,75,95,71,70,66,89,87,68,55,64,157,74,89,62,84,"2,586",237,235,236,236,236,234,234,234,233,236,235,"3,435",724,993,731,987,13,3,8,2,5,50,"20,468"
21-Jul-03,"5,654","3,148","2,150","2,062","1,390",84,68,75,95,73,73,71,89,94,69,55,66,163,78,89,62,86,"2,583",236,235,236,236,234,234,235,234,233,235,235,"3,456",728,995,748,985,16,5,8,3,6,8,"20,473"
22-Jul-03,"5,677","3,149","2,146","2,044","1,390",84,68,75,95,73,73,71,89,95,69,54,65,167,78,87,62,85,"2,583",236,235,236,236,234,235,235,234,233,234,235,"3,455",728,995,747,985,16,5,8,3,6,5,"20,471"
23-Jul-03,"5,691","3,155","2,145","2,016","1,394",83,68,75,94,73,73,77,89,95,69,53,64,167,78,86,62,88,"2,583",236,234,236,236,234,235,235,235,233,234,235,"3,461",728,994,747,992,16,5,8,3,6,4,"20,471"
24-Jul-03,"5,689","3,150","2,161","1,991","1,395",86,68,75,93,73,73,77,89,95,69,53,64,167,77,86,62,88,"2,581",236,232,235,236,234,235,235,235,235,234,234,"3,454",727,994,742,991,16,5,8,3,6,6,"20,449"
25-Jul-03,"5,686","3,182","2,152","1,974","1,345",84,64,72,87,69,69,77,84,88,66,51,62,163,79,83,61,86,"2,583",236,234,234,236,235,235,235,235,235,234,234,"3,449",727,994,737,991,16,5,8,3,5,51,"20,443"
26-Jul-03,"5,685","3,181","2,152","1,974","1,345",84,64,72,87,69,69,77,84,88,66,51,62,163,79,83,61,86,"2,583",236,234,234,236,235,235,235,235,235,234,234,"3,448",727,994,736,991,16,5,8,3,5,51,"20,440"
