Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
19-Dec-15,"3,298",39,"2,747",28,16,"2,703",36,"1,149","1,118",0,52,67,56,68,52,0,54,76,88,79,65,174,0,85,83,58,61,"3,843",0,337,272,258,272,268,246,271,329,273,278,279,218,267,275,"3,918",0,"1,144",996,904,874,12,4,6,2,"18,907"
20-Dec-15,"3,297",39,"2,747",28,16,"2,702",35,"1,149","1,117",0,52,67,56,68,52,0,54,76,88,79,65,174,0,85,83,58,60,"3,842",0,337,272,258,271,268,246,271,329,273,278,279,218,267,275,"3,916",0,"1,144",996,903,873,12,4,6,2,"18,900"
21-Dec-15,"3,291",39,"2,730",28,16,"2,705",35,"1,119","1,108",0,52,68,55,67,52,0,54,74,87,78,65,174,0,83,83,56,60,"3,853",0,336,275,257,270,268,246,271,326,273,277,280,218,269,287,"3,938",0,"1,151",999,916,872,12,4,6,2,"18,874"
22-Dec-15,"3,297",33,"2,724",28,15,"2,705",29,"1,138","1,084",0,52,67,55,66,51,0,49,73,87,78,68,171,0,76,81,55,55,"3,862",0,342,274,257,269,268,246,274,324,272,276,280,227,268,285,"3,933",0,"1,149",999,913,872,12,4,6,2,"18,860"
23-Dec-15,"3,296",26,"2,702",28,15,"2,712",26,"1,133","1,089",0,51,67,59,66,51,0,50,73,86,79,68,171,0,77,82,55,54,"3,857",0,340,274,257,268,268,246,275,323,271,277,279,227,268,284,"3,934",0,"1,153",998,912,871,11,3,6,2,"18,829"
24-Dec-15,"3,294",26,"2,703",28,15,"2,713",26,"1,133","1,087",0,51,67,59,66,51,0,50,73,86,79,68,171,0,76,82,54,54,"3,857",0,340,274,257,268,268,246,275,323,271,277,279,227,268,284,"3,934",0,"1,153",998,912,871,11,3,6,2,"18,827"
25-Dec-15,"3,292",26,"2,703",27,15,"2,711",26,"1,134","1,086",0,51,67,59,66,51,0,50,73,86,79,68,171,0,75,82,54,54,"3,856",0,340,273,257,268,268,246,275,323,271,277,279,227,268,284,"3,934",0,"1,153",998,912,871,11,3,6,2,"18,821"
26-Dec-15,"3,293",26,"2,701",28,15,"2,711",26,"1,134","1,082",0,51,67,59,65,51,0,50,73,86,79,66,170,0,75,82,54,54,"3,854",0,340,273,257,268,268,246,275,323,271,277,278,227,267,284,"3,932",0,"1,153",998,910,871,11,3,6,2,"18,813"
27-Dec-15,"3,293",26,"2,704",28,15,"2,709",25,"1,134","1,080",0,51,67,59,65,51,0,50,73,86,79,66,170,0,73,82,54,54,"3,853",0,340,273,257,268,268,246,275,323,271,277,278,227,267,283,"3,929",0,"1,151",997,910,871,11,3,6,2,"18,807"
