Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
1-May-13,"3,364","3,340",29,"3,234","2,348","1,567",92,75,79,87,87,72,73,79,90,79,89,84,242,93,84,79,83,"4,424",298,369,276,299,280,280,274,279,355,280,280,279,295,280,300,"4,275",0,"1,122",997,"1,268",888,20,3,3,3,0,11,"22,601"
2-May-13,"3,354","3,319",30,"3,231","2,361","1,588",92,74,77,86,87,85,73,80,91,74,92,89,242,99,84,78,85,"4,423",299,369,276,299,280,280,274,278,355,279,280,279,295,280,300,"4,285",0,"1,121",999,"1,277",888,19,3,3,3,0,10,"22,610"
3-May-13,"3,339","3,314",30,"3,213","2,405","1,581",92,72,78,86,87,85,73,82,89,74,89,88,240,101,84,78,83,"4,420",297,368,280,300,278,280,274,279,355,279,280,279,293,279,299,"4,296",0,"1,125",998,"1,280",893,28,3,5,3,0,17,"22,626"
4-May-13,"3,337","3,309",30,"3,214","2,405","1,579",92,72,78,85,87,85,73,82,89,74,89,88,239,101,84,78,83,"4,416",297,368,279,300,278,279,274,279,355,279,280,279,291,279,299,"4,295",0,"1,124",998,"1,280",893,26,3,5,3,0,15,"22,611"
5-May-13,"3,335","3,309",28,"3,213","2,405","1,576",92,72,78,85,87,85,73,82,89,74,88,88,239,101,84,77,82,"4,414",297,368,279,299,278,279,274,279,355,278,280,279,291,279,299,"4,294",0,"1,124",998,"1,279",893,27,3,5,3,0,16,"22,601"
6-May-13,"3,337","3,320",30,"3,223","2,382","1,575",92,72,78,85,87,83,73,83,88,74,86,88,242,102,84,75,83,"4,411",296,367,279,299,279,280,274,279,355,278,280,277,290,279,299,"4,294",0,"1,125",998,"1,280",891,18,3,5,3,0,7,"22,590"
7-May-13,"3,339","3,320",29,"3,240","2,373","1,567",91,72,78,83,86,82,73,83,88,78,83,88,242,100,84,75,81,"4,415",296,369,279,298,279,280,274,280,354,280,280,278,290,280,298,"4,290",0,"1,125",998,"1,278",889,19,3,5,3,0,8,"22,592"
8-May-13,"3,350","3,328",29,"3,242","2,353","1,563",92,72,75,82,83,79,73,83,86,77,91,89,242,100,83,75,81,"4,413",296,369,280,298,280,279,274,279,353,280,279,280,290,277,299,"4,290",0,"1,125",998,"1,278",889,16,5,3,3,0,5,"22,584"
9-May-13,"3,337","3,316",30,"3,242","2,322","1,554",92,72,75,83,79,79,71,83,92,76,91,88,238,99,82,73,81,"4,426",298,369,280,300,280,279,274,280,354,280,280,280,298,276,298,"4,289",0,"1,120",999,"1,282",888,19,5,3,3,0,8,"22,535"
