Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
10-Aug-15,"3,111",96,"2,420",24,129,"2,533",93,"1,058","1,189",85,58,57,48,47,60,0,81,68,71,70,74,187,83,69,57,74,"4,220",297,356,276,298,272,266,264,265,343,269,272,277,215,264,286,"3,836",0,"1,126",990,932,788,13,4,6,3,"18,722"
11-Aug-15,"3,112",97,"2,421",25,130,"2,534",94,"1,059","1,204",86,59,58,49,48,61,0,82,69,72,71,75,187,84,70,58,75,"4,235",298,357,277,299,273,267,265,266,344,270,273,278,215,266,287,"3,840",0,"1,127",991,933,789,18,5,8,5,"18,769"
12-Aug-15,"3,112",97,"2,421",25,130,"2,534",94,"1,059","1,209",86,59,58,49,48,61,0,82,69,72,71,76,187,85,71,59,76,"4,247",299,358,278,300,274,268,264,267,345,271,274,279,215,267,288,"3,844",0,"1,128",992,934,790,19,6,8,5,"18,791"
13-Aug-15,"3,088",92,"2,478",24,129,"2,527",91,"1,090","1,194",86,60,56,48,46,60,0,81,63,75,73,73,184,86,75,55,73,"4,199",300,352,274,298,271,260,264,261,342,263,271,276,214,267,286,"3,857",0,"1,121","1,000",938,798,13,4,6,3,"18,782"
14-Aug-15,"3,087",91,"2,477",23,128,"2,526",90,"1,089","1,185",85,59,55,47,45,59,0,80,62,74,73,73,184,86,75,55,73,"4,199",300,352,274,298,271,260,264,261,342,263,271,276,214,267,286,"3,857",0,"1,121","1,000",938,798,13,4,6,3,"18,765"
15-Aug-15,"3,087",91,"2,477",23,128,"2,526",90,"1,089","1,179",85,59,55,47,45,59,0,80,62,74,72,72,184,85,74,54,72,"4,198",299,352,274,298,271,260,264,261,342,263,271,276,214,267,286,"3,857",0,"1,121","1,000",938,798,13,4,6,3,"18,758"
16-Aug-15,"3,087",91,"2,477",23,128,"2,526",90,"1,089","1,179",85,59,55,47,45,59,0,80,62,74,72,72,184,85,74,54,72,"4,186",299,351,273,297,270,259,263,260,341,262,270,275,214,266,286,"3,857",0,"1,121","1,000",938,798,13,4,6,3,"18,746"
17-Aug-15,"3,093",84,"2,511",24,121,"2,502",95,"1,082","1,189",86,59,56,45,51,59,0,80,60,75,76,71,185,88,74,54,70,"4,199",300,350,274,300,271,268,259,260,345,262,271,277,214,261,287,"3,852",0,"1,118",999,926,809,12,4,5,3,"18,764"
18-Aug-15,"3,094",85,"2,512",25,122,"2,503",96,"1,082","1,189",86,59,56,45,51,59,0,80,60,75,76,71,185,88,74,54,70,"4,199",300,350,274,300,271,268,259,260,345,262,271,277,214,261,287,"3,852",0,"1,118",999,926,809,12,4,5,3,"18,771"
