date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,711","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000","1,000","1,000",16,6,6,4,6,0,"23,037"
1-Jul-08,"4,224","3,761","3,130","1,999","1,794",92,96,94,98,92,102,102,100,101,89,88,90,249,99,100,102,100,"3,081",293,279,278,280,275,280,280,280,280,276,280,"4,807",973,898,999,953,984,12,5,4,3,6,8,"22,822"
2-Jul-08,"4,220","3,749","3,132","2,040","1,790",92,98,88,98,97,102,101,98,101,89,87,90,248,99,100,102,100,"3,073",295,275,276,278,274,280,280,280,280,276,279,"4,796",966,897,998,953,982,12,5,4,3,6,10,"22,828"
3-Jul-08,"4,212","3,706","3,120","2,101","1,799",91,102,88,100,99,101,101,102,101,89,87,90,250,99,102,99,98,"3,083",294,279,280,280,274,280,280,280,278,279,279,"4,797",968,896,"1,000",951,982,12,5,4,3,6,0,"22,836"
4-Jul-08,"4,207","3,705","3,118","2,103","1,792",91,102,88,100,97,101,101,102,101,89,86,90,247,98,102,99,98,"3,081",294,279,279,280,273,280,280,280,278,279,279,"4,795",968,895,"1,000",950,982,12,5,4,3,6,10,"22,829"
5-Jul-08,"4,205","3,707","3,118","2,103","1,787",90,102,88,100,96,100,101,101,101,90,86,90,246,97,102,99,98,"3,081",294,279,279,280,273,280,280,280,278,279,279,"4,792",968,893,999,950,982,12,5,4,3,6,6,"22,817"
6-Jul-08,"4,203","3,706","3,115","2,103","1,786",90,102,88,100,96,100,101,101,101,90,86,90,245,97,102,99,98,"3,079",294,279,279,280,273,279,279,280,278,279,279,"4,790",967,893,999,949,982,12,5,4,3,6,6,"22,806"
7-Jul-08,"4,197","3,727","3,110","2,106","1,776",90,102,88,100,94,100,101,101,101,89,84,90,243,98,99,98,98,"3,078",294,279,278,280,273,277,280,280,278,279,280,"4,786",969,892,999,944,982,12,5,4,3,6,4,"22,802"
8-Jul-08,"4,195","3,690","3,133","2,097","1,795",91,102,87,100,94,101,100,101,102,92,88,91,249,100,98,98,101,"3,079",292,280,278,280,274,277,280,280,279,279,280,"4,796",970,891,999,949,987,12,5,4,3,6,3,"22,806"
9-Jul-08,"4,193","3,730","3,145","2,063","1,799",91,102,88,100,102,100,98,99,101,92,88,93,249,99,96,101,100,"3,070",292,280,278,280,272,275,279,277,277,280,280,"4,797",971,892,998,950,986,13,5,4,4,6,2,"22,818"
