Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,450","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
19-Apr-10,"3,711","3,308","3,109","1,446","1,636",72,92,80,91,83,87,93,84,89,90,73,93,236,102,86,90,95,"2,531",235,224,222,223,219,224,287,225,224,224,224,"5,248",901,"1,298",901,"1,197",951,9,3,4,2,6,5,"21,009"
20-Apr-10,"3,679","3,327","3,117","1,476","1,632",73,92,80,91,81,87,92,84,89,90,72,93,235,102,86,90,95,"2,529",235,223,223,224,219,223,286,224,224,224,224,"5,271",900,"1,325",900,"1,195",951,8,2,4,2,6,10,"21,055"
21-Apr-10,"3,680","3,327","3,120","1,483","1,645",73,92,80,92,81,85,92,84,93,90,72,93,239,102,86,90,101,"2,527",235,223,222,224,219,223,286,224,224,223,224,"5,278",903,"1,324",900,"1,200",951,8,2,4,2,6,11,"21,085"
22-Apr-10,"3,681","3,322","3,109","1,514","1,604",72,88,79,92,80,85,91,81,95,89,72,70,237,102,85,88,98,"2,525",235,224,222,224,219,224,283,223,224,223,224,"5,285",902,"1,333",900,"1,201",949,7,2,3,2,6,7,"21,060"
23-Apr-10,"3,672","3,328","3,103","1,536","1,593",72,90,78,92,75,84,91,81,99,87,72,70,236,100,82,86,98,"2,528",235,224,222,224,219,224,284,224,224,224,224,"5,284",901,"1,334",897,"1,201",951,8,3,3,2,6,21,"21,079"
24-Apr-10,"3,669","3,324","3,102","1,536","1,589",71,90,78,91,74,83,91,81,99,87,72,70,236,100,82,86,98,"2,528",235,224,222,224,219,224,284,224,224,224,224,"5,279",901,"1,331",896,"1,200",951,8,3,3,2,6,24,"21,065"
25-Apr-10,"3,667","3,319","3,101","1,536","1,588",71,90,78,92,74,83,90,81,98,87,72,70,236,100,82,86,98,"2,526",234,224,222,224,219,224,284,224,224,223,224,"5,277",901,"1,331",896,"1,199",950,8,3,3,2,6,24,"21,052"
26-Apr-10,"3,662","3,313","3,100","1,537","1,593",71,90,78,91,77,84,90,79,98,87,71,70,239,101,83,86,98,"2,523",234,224,222,223,218,223,284,224,224,223,224,"5,272",901,"1,330",893,"1,199",949,8,3,3,2,6,11,"21,025"
27-Apr-10,"3,633","3,299","3,104","1,568","1,591",71,90,75,91,84,87,89,79,96,87,70,70,237,98,83,85,99,"2,521",234,224,223,223,218,223,284,225,222,221,224,"5,311",904,"1,355",901,"1,200",951,8,3,3,2,6,12,"21,053"
