Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
27-Mar-04,"5,736","3,266","2,087","2,143","1,603",92,99,95,71,91,78,81,100,99,86,56,77,207,97,95,79,100,"2,740",249,250,250,249,246,249,250,249,250,248,250,"3,433",726,994,719,994,13,6,4,3,5,31,"21,057"
28-Mar-04,"5,733","3,265","2,087","2,143","1,602",92,99,95,71,91,78,80,100,99,86,56,77,207,97,95,79,100,"2,738",249,250,250,249,246,249,250,249,249,248,249,"3,433",726,994,719,994,13,6,4,3,5,32,"21,051"
29-Mar-04,"5,727","3,259","2,110","2,146","1,634",92,101,96,71,91,78,90,102,102,91,57,79,207,101,97,79,100,"2,742",248,250,250,249,246,250,250,250,250,249,250,"3,435",726,993,722,994,14,6,5,3,5,7,"21,079"
30-Mar-04,"5,731","3,247","2,104","2,141","1,629",91,102,96,69,91,78,90,101,102,91,56,80,202,101,100,79,100,"2,743",249,250,250,249,246,250,250,250,250,249,250,"3,429",724,993,718,994,14,6,5,3,5,7,"21,050"
31-Mar-04,"5,707","3,250","2,102","2,148","1,640",89,101,93,77,91,82,91,100,102,91,58,78,207,101,101,79,99,"2,741",249,250,247,249,247,250,250,249,250,250,250,"3,429",727,992,717,993,14,6,5,3,4,8,"21,043"
