Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,753","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,553"
1-Apr-12,"3,255","3,097","3,173","2,234","1,491",92,66,79,76,81,81,79,75,91,78,93,88,183,97,80,65,87,"4,255",295,292,275,297,279,280,274,278,339,278,278,279,234,278,299,"4,165",0,"1,319",996,966,884,9,4,2,3,0,24,"21,703"
2-Apr-12,"3,294","3,055","3,177","2,251","1,491",91,69,80,76,81,80,78,76,89,78,92,87,184,99,80,64,87,"4,256",295,294,275,296,279,279,273,278,339,278,279,279,234,279,299,"4,181",0,"1,320",996,981,884,10,5,2,3,0,6,"21,721"
3-Apr-12,"3,299","3,040","3,181","2,236","1,497",92,67,83,74,81,80,78,75,91,79,91,88,184,102,80,64,88,"4,267",297,294,278,298,279,279,274,278,339,279,280,279,234,280,299,"4,206",0,"1,361",979,979,887,10,5,2,3,0,9,"21,745"
4-Apr-12,"3,296","3,067","3,191","2,190","1,501",92,71,84,75,80,78,77,75,90,79,92,87,190,101,80,63,87,"4,276",297,294,280,300,280,279,274,280,339,280,280,277,238,279,299,"4,208",0,"1,363",979,979,887,9,5,2,2,0,9,"21,747"
5-Apr-12,"3,282","3,076","3,184","2,196","1,515",92,73,84,74,80,78,77,84,91,79,93,89,190,100,81,63,87,"4,278",299,291,280,300,279,280,274,280,339,280,280,279,238,279,300,"4,189",0,"1,362",974,964,889,9,5,2,2,0,9,"21,738"
6-Apr-12,"3,277","3,087","3,161","2,204","1,506",92,70,83,75,77,80,76,84,91,75,93,90,187,101,81,67,84,"4,277",297,291,280,298,280,280,274,280,339,280,280,280,238,280,300,"4,183",0,"1,358",979,958,888,11,5,4,2,0,29,"21,735"
7-Apr-12,"3,275","3,087","3,161","2,204","1,502",92,70,83,75,77,80,76,84,91,75,93,89,187,100,80,67,83,"4,273",297,290,280,298,280,279,273,280,339,280,280,280,238,280,299,"4,184",0,"1,358",980,958,888,10,5,4,1,0,30,"21,726"
8-Apr-12,"3,274","3,087","3,162","2,204","1,503",92,70,83,75,77,80,76,84,91,75,93,89,187,101,80,67,83,"4,273",297,290,280,298,280,279,273,280,339,280,280,280,238,280,299,"4,183",0,"1,357",980,958,888,9,5,4,0,0,29,"21,724"
9-Apr-12,"3,277","3,108","3,162","2,188","1,507",91,72,84,73,80,81,76,82,91,76,92,91,187,101,80,66,84,"4,273",297,291,280,298,279,279,273,280,339,280,280,280,238,280,299,"4,183",0,"1,357",980,958,888,9,5,4,0,0,7,"21,714"
