date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,792","3,233","2,214","2,327","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",18,6,6,6,6,,"22,244"
1-Apr-05,"4,545","3,047","2,177","1,751","1,731",89,98,91,95,101,95,96,101,97,90,86,90,214,96,96,94,102,"2,743",249,249,250,250,248,250,250,250,249,248,250,"4,755",958,868,993,128,844,964,12,6,4,2,5,26,"20,792"
2-Apr-05,"4,539","3,046","2,177","1,751","1,730",88,98,91,95,101,95,97,101,97,90,86,90,214,95,96,94,102,"2,741",247,249,250,250,248,250,250,250,249,248,250,"4,755",958,869,992,128,844,964,12,6,4,2,5,24,"20,780"
3-Apr-05,"4,536","3,044","2,176","1,751","1,728",87,98,91,95,101,95,97,100,97,90,86,90,214,95,96,94,102,"2,739",247,249,249,250,248,250,249,250,249,248,250,"4,752",957,868,992,128,843,964,12,6,4,2,5,25,"20,768"
4-Apr-05,"4,537","3,060","2,180","1,752","1,749",90,97,91,101,102,94,98,101,99,92,87,90,216,97,96,96,102,"2,735",247,250,250,250,245,250,249,250,249,245,250,"4,748",957,868,990,128,843,962,12,6,4,2,5,5,"20,783"
5-Apr-05,"4,545","3,046","2,178","1,765","1,745",91,96,96,101,102,93,98,101,99,92,87,90,217,93,93,95,101,"2,743",250,250,250,249,245,250,250,249,250,250,250,"4,765",957,867,995,128,848,970,12,6,4,2,5,6,"20,810"
6-Apr-05,"4,564","3,023","2,173","1,783","1,745",92,96,94,101,99,93,102,102,99,92,87,91,216,93,93,94,101,"2,745",249,249,250,249,250,250,250,250,250,248,250,"4,767",958,874,994,128,843,970,12,6,4,2,5,7,"20,824"
7-Apr-05,"4,551","3,033","2,168","1,770","1,746",90,101,94,99,99,92,102,101,102,91,86,92,214,93,96,94,100,"2,745",250,249,250,250,249,250,250,250,250,247,250,"4,761",959,874,994,128,839,967,12,6,4,2,5,7,"20,798"
8-Apr-05,"4,558","3,015","2,170","1,781","1,715",87,98,95,100,97,88,101,101,99,90,85,91,207,87,97,94,98,"2,747",250,250,250,250,249,249,250,250,250,249,250,"4,760",956,873,994,128,845,964,12,6,4,2,5,36,"20,799"
9-Apr-05,"4,550","3,014","2,170","1,781","1,710",86,98,95,99,97,88,101,101,99,90,84,91,205,87,97,94,98,"2,745",250,250,250,250,248,248,250,250,250,249,250,"4,760",956,873,994,128,845,964,12,6,4,2,5,36,"20,783"
10-Apr-05,"4,551","3,010","2,169","1,781","1,708",86,98,94,99,97,88,101,101,99,90,83,91,205,87,97,94,98,"2,742",250,250,250,249,248,248,250,249,250,249,249,"4,759",956,873,993,128,845,964,12,6,4,2,5,37,"20,774"
11-Apr-05,"4,543","3,008","2,156","1,764","1,757",88,101,94,99,98,98,102,102,100,92,84,92,215,93,102,95,102,"2,741",249,250,249,249,247,249,250,249,250,249,250,"4,776",956,873,990,128,854,975,12,6,4,2,5,8,"20,770"
12-Apr-05,"4,574","2,984","2,128","1,791","1,761",88,101,93,98,99,97,102,102,100,91,93,91,215,92,102,95,102,"2,740",249,249,248,249,247,249,249,250,250,250,250,"4,789",954,872,995,128,857,983,12,6,4,2,5,9,"20,793"
13-Apr-05,"4,561","2,951","2,152","1,797","1,776",92,100,95,99,98,96,102,102,101,91,93,92,214,102,102,95,102,"2,747",250,250,249,250,249,250,250,250,250,249,250,"4,789",959,869,995,128,859,979,13,6,4,3,5,7,"20,798"
