date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,760","3,233","2,214","2,203","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",18,6,6,6,6,,"22,088"
14-Nov-04,"4,646","3,057","2,169","1,899","1,606",77,89,92,92,90,92,95,88,96,82,56,76,217,94,92,82,96,"2,739",246,250,249,250,250,248,249,250,248,249,250,"4,748",954,874,991,127,814,988,12,6,2,4,5,79,"20,960"
15-Nov-04,"4,643","3,072","2,169","1,880","1,673",84,95,94,97,96,98,95,92,100,90,56,77,218,101,94,84,102,"2,742",246,249,249,250,249,250,250,250,249,250,250,"4,753",953,874,993,127,816,990,14,6,4,4,5,2,"20,953"
16-Nov-04,"4,632","3,095","2,163","1,873","1,689",88,96,93,97,95,98,95,98,100,91,57,77,220,101,97,84,102,"2,740",247,250,250,249,248,249,249,249,249,250,250,"4,758",957,873,994,127,816,991,14,6,4,4,5,1,"20,970"
17-Nov-04,"4,647","3,079","2,160","1,883","1,697",88,96,93,97,96,98,96,102,100,90,57,77,222,102,97,84,102,"2,740",249,250,250,248,247,250,249,249,249,250,249,"4,765",957,873,994,128,822,991,14,6,4,4,5,1,"20,991"
18-Nov-04,"4,636","3,088","2,182","1,867","1,696",88,94,94,97,95,98,96,102,100,92,56,77,222,102,97,84,102,"2,742",249,249,250,249,247,250,250,250,249,250,249,"4,759",955,873,995,128,815,993,14,6,4,4,5,2,"20,991"
19-Nov-04,"4,621","3,119","2,175","1,876","1,695",87,93,95,98,99,98,96,102,100,91,56,77,221,102,94,84,102,"2,741",248,250,250,248,248,250,250,250,249,250,248,"4,751",957,872,994,128,813,987,14,6,4,4,5,2,"20,999"
20-Nov-04,"4,621","3,115","2,175","1,876","1,694",87,93,94,98,99,98,96,102,100,91,56,77,221,102,94,84,102,"2,739",246,250,250,248,248,250,250,250,249,250,248,"4,749",957,872,994,128,811,987,14,6,4,4,5,1,"20,989"
21-Nov-04,"4,618","3,112","2,174","1,876","1,692",86,93,94,98,99,98,96,101,100,91,56,77,221,102,94,84,102,"2,738",246,250,250,248,248,250,250,249,249,250,248,"4,746",957,872,994,128,809,986,14,6,4,4,5,1,"20,976"
22-Nov-04,"4,638","3,089","2,171","1,791","1,696",86,92,94,101,98,99,100,100,101,91,56,76,220,102,94,84,102,"2,737",247,250,250,249,245,249,249,249,249,250,250,"4,752",957,874,992,128,812,989,14,6,4,4,5,2,"20,895"
23-Nov-04,"4,625","3,115","2,179","1,852","1,704",87,91,95,101,97,99,100,100,102,91,56,76,222,102,99,84,102,"2,734",248,250,247,249,244,249,249,249,249,250,250,"4,753",957,874,994,128,811,989,14,6,4,4,5,1,"20,982"
24-Nov-04,"4,633","3,100","2,162","1,849","1,710",86,92,95,101,101,102,97,102,102,90,56,75,224,102,99,84,102,"2,739",248,249,247,249,248,249,250,250,249,250,250,"4,762",960,874,994,128,817,989,14,6,4,4,5,2,"20,976"
25-Nov-04,"4,631","3,099","2,161","1,849","1,710",86,92,95,101,101,102,97,102,102,90,56,75,224,102,99,84,102,"2,739",248,249,247,249,248,249,250,250,249,250,250,"4,762",960,874,994,128,817,989,14,6,4,4,5,4,"20,974"
26-Nov-04,"4,628","3,100","2,162","1,848","1,707",86,91,95,101,101,101,97,102,102,89,56,75,224,102,99,84,102,"2,738",248,248,247,249,248,249,250,250,249,250,250,"4,757",960,874,992,128,815,988,14,6,4,4,5,5,"20,964"
