Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
28-Jun-11,"3,072","3,249","3,133","1,849","1,559",87,84,80,76,87,84,77,88,89,88,81,82,201,99,92,73,91,"3,276",248,234,224,250,223,224,219,224,285,225,224,223,223,250,"5,138",902,"1,354","1,000",993,889,10,6,4,0,5,10,"21,301"
29-Jun-11,"3,081","3,254","3,139","1,848","1,558",87,84,79,77,87,85,77,88,87,88,85,82,200,98,92,73,89,"3,279",248,234,224,250,223,224,219,224,285,225,224,224,225,250,"5,151",902,"1,354","1,000","1,006",889,12,6,6,0,5,10,"21,337"
,"3,099","3,246","3,132","1,828","1,564",86,84,82,77,90,88,76,88,89,88,84,82,198,97,92,74,89,"3,284",248,235,227,250,224,224,219,224,284,225,224,226,225,249,"5,150",902,"1,354","1,000","1,006",888,12,6,6,0,5,9,"21,329"
30-Jun-11 Avg Population,"3,085","3,227","3,126","1,837","1,512",83,83,78,79,83,84,76,86,89,79,81,74,196,92,89,75,84,"3,255",231,234,223,247,224,224,219,224,284,224,224,223,223,252,"5,134",899,"1,355","1,000",995,886,11,6,5,0,5,20,"21,212"
