Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,560",360,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,081"
1-Jun-14,"3,283","2,770",37,"3,191","1,789","1,119",92,43,51,61,62,56,45,43,50,68,68,66,189,95,48,40,42,"4,378",298,367,279,299,279,276,272,279,349,278,279,278,271,277,297,4302,"1,198",1001,"1,237",866,12,5,4,3,"20,881"
2-Jun-14,"3,289","2,750",38,"3,195","1,763","1,142",92,43,52,64,61,55,48,51,51,69,71,66,192,96,48,40,43,"4,394",298,367,279,298,279,280,274,279,355,278,280,280,271,276,300,4306,"1,199",1001,"1,242",864,13,5,5,3,"20,890"
3-Jun-14,"3,283","2,791",40,"3,189","1,751","1,119",92,43,51,61,62,56,45,43,50,68,68,66,189,95,48,40,42,"4,378",298,367,279,299,279,276,272,279,349,278,279,278,271,277,297,4302,"1,198","1,001","1,237",866,12,5,4,3,"20,865"
4-Jun-14,"3,313","2,786",40,"3,178","1,735","1,131",90,43,52,63,63,51,48,51,52,66,72,65,191,96,48,37,43,"4,337",301,369,280,300,279,280,274,279,355,278,279,280,269,279,235,4300,"1,200",998,"1,243",859,14,6,5,3,"20,834"
5-Jun-14,"3,319","2,791",40,"3,181","1,699","1,130",88,44,53,63,62,51,47,52,52,66,72,66,191,96,48,37,42,"4,394",300,368,280,298,278,280,273,280,353,278,280,279,268,280,299,4289,"1,195",995,"1,240",859,13,6,4,3,"20,856"
6-Jun-14,"3,314","2,754",40,"3,172","1,764","1,114",87,44,52,63,63,48,47,51,56,65,70,65,187,91,48,37,40,"4,386",300,368,280,300,278,280,273,272,355,271,280,279,276,277,297,4290,"1,196",998,"1,238",858,13,6,4,3,"20,847"
7-Jun-14,"3,312","2,751",40,"3,171","1,764","1,113",87,44,52,63,63,48,47,51,56,65,70,65,187,91,47,37,40,"4,379",299,367,279,300,277,280,273,272,354,271,280,279,275,277,296,4287,"1,194",998,"1,237",858,13,6,4,3,"20,830"
8-Jun-14,"3,309","2,751",40,"3,171","1,764","1,112",87,44,52,62,63,48,47,51,56,65,70,65,187,91,47,37,40,"4,377",299,367,279,300,276,280,273,272,354,271,280,279,275,276,296,4286,"1,193",998,"1,237",858,14,6,5,3,"20,824"
9-Jun-14,"3,308","2,723",40,"3,171","1,756","1,139",88,44,52,60,64,50,52,56,57,66,70,66,190,95,48,36,45,"4,389",299,364,279,300,278,280,273,279,353,277,280,279,280,276,292,4290,"1,196",998,"1,237",859,14,6,5,3,"20,830"
10-Jun-14,"3,308","2,730",40,"3,171","1,729","1,139",88,43,52,60,63,50,52,55,57,66,70,69,191,96,47,35,45,"4,398",298,366,279,300,278,280,273,279,353,277,280,280,280,276,299,4295,"1,198",998,"1,242",857,13,6,5,2,"20,823"
11-Jun-14,"3,302","2,709",40,"3,172","1,732","1,147",90,43,50,60,62,49,53,55,55,72,70,68,191,99,47,38,45,"4,401",301,367,280,300,277,278,273,279,355,277,280,280,280,276,298,4298,"1,198","1,000","1,244",856,13,6,5,2,"20,814"
