date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
21-Aug-01,"5,221","2,950","1,987","1,544","1,238",74,68,75,73,75,75,74,75,72,73,56,46,109,73,73,75,72,"2,022",208,198,194,198,211,221,200,197,198,197,"3,497",839,496,872,401,889,18,6,11,1,6,"18,483"
22-Aug-01,"5,211","2,962","1,980","1,546","1,239",74,68,75,75,74,75,73,75,74,73,54,45,113,72,73,75,71,"2,023",208,198,194,200,211,221,200,196,198,197,"3,500",837,498,871,405,889,18,6,11,1,6,"18,485"
23-Aug-01,"5,202","2,984","1,982","1,553","1,242",74,74,75,74,74,75,73,75,74,73,54,45,112,72,73,74,71,"2,019",207,198,192,200,211,220,200,196,198,197,"3,496",837,498,863,405,893,18,6,11,1,6,"18,502"
24-Aug-01,"5,215","2,985","1,973","1,543","1,218",72,73,74,74,71,74,69,73,74,75,54,43,111,72,69,72,68,"2,037",206,198,197,200,213,225,200,200,201,197,"3,494",835,498,864,404,893,18,6,11,1,6,"18,489"
25-Aug-01,"5,212","2,987","1,974","1,547","1,217",72,72,74,73,71,75,69,73,74,75,54,43,111,72,69,72,68,"2,038",206,198,197,200,213,226,200,200,201,197,"3,493",835,498,863,404,893,18,6,11,1,6,"18,492"
26-Aug-01,"5,207","2,985","1,973","1,550","1,217",72,72,74,73,71,75,69,73,74,75,54,43,111,72,69,72,68,"2,037",206,197,197,200,213,226,200,200,201,197,"3,492",834,498,863,404,893,18,6,11,1,6,"18,485"
27-Aug-01,"5,204","3,003","1,967","1,550","1,234",72,74,74,72,73,75,73,75,74,75,54,44,111,72,74,74,68,"2,033",206,197,197,198,213,225,199,200,201,197,"3,493",841,498,859,403,892,16,6,9,1,6,"18,506"
28-Aug-01,"5,201","2,983","1,991","1,555","1,240",72,74,75,75,75,74,72,75,74,75,51,44,110,73,74,75,72,"2,033",209,198,197,198,213,225,199,193,201,200,"3,503",842,499,870,399,893,15,6,8,1,6,"18,527"
29-Aug-01,"5,222","2,997","1,988","1,536","1,241",73,74,75,75,73,74,74,75,74,75,51,44,110,73,74,75,72,"2,032",210,197,197,198,213,225,198,193,201,200,"3,503",842,499,871,400,891,15,6,8,1,6,"18,540"
30-Aug-01,"5,219","2,995","1,999","1,540","1,228",73,72,74,75,71,74,74,75,72,75,49,43,110,72,74,75,70,"2,026",210,196,197,196,211,224,198,193,201,200,"3,506",842,499,866,409,890,15,6,8,1,6,"18,534"
31-Aug-01,"5,218","3,008","1,989","1,549","1,228",73,72,74,75,71,74,74,75,74,75,48,43,110,71,74,75,70,"2,038",210,196,200,198,211,222,199,200,202,200,"3,493",833,497,865,408,890,15,6,8,1,6,"18,544"
