Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,492","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,138",294,280,280,280,274,280,330,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,560"
19-Jun-10,"3,472","3,297","3,156","1,526","1,580",72,75,69,85,73,83,88,86,94,86,91,89,234,99,92,85,79,"2,520",232,222,224,224,219,223,283,224,224,225,220,"5,283",900,"1,357",899,"1,180",947,7,2,3,2,6,44,"20,891"
20-Jun-10,"3,472","3,296","3,153","1,526","1,581",72,75,69,85,73,83,88,86,94,86,91,89,234,99,93,85,79,"2,519",232,222,224,224,219,223,282,224,224,225,220,"5,278",899,"1,357",898,"1,178",946,7,2,3,2,6,42,"20,880"
21-Jun-10,"3,466","3,279","3,159","1,533","1,618",75,74,70,87,73,88,93,87,94,88,92,92,236,102,90,87,90,"2,520",234,221,224,224,219,223,281,222,224,224,224,"5,289",900,"1,359",902,"1,179",949,6,2,2,2,6,9,"20,885"
22-Jun-10,"3,457","3,282","3,165","1,548","1,628",74,79,67,89,76,88,93,85,94,88,92,93,238,102,89,87,94,"2,528",236,222,224,224,219,224,281,225,224,225,224,"5,300",900,"1,360",900,"1,188",952,6,2,2,2,6,11,"20,931"
23-Jun-10,"3,458","3,305","3,157","1,542","1,640",73,81,67,89,76,99,93,83,94,88,92,93,240,102,89,87,94,"2,523",235,223,222,224,219,224,279,224,224,225,224,"5,303",903,"1,359",902,"1,189",950,6,2,2,2,6,12,"20,952"
24-Jun-10,"3,450","3,309","3,156","1,558","1,626",72,80,67,88,71,99,90,83,95,86,92,92,235,99,88,93,96,"2,522",235,221,224,224,218,221,281,225,224,225,224,"5,295",903,"1,355",899,"1,189",949,6,2,2,2,6,12,"20,940"
25-Jun-10,"3,416","3,338","3,171","1,537","1,601",65,80,64,91,69,96,86,82,94,88,91,92,232,96,85,92,98,"2,524",235,221,223,223,219,224,281,225,224,225,224,"5,302",902,"1,358",899,"1,191",952,6,2,2,2,6,42,"20,943"
26-Jun-10,"3,411","3,332","3,170","1,537","1,601",65,80,65,91,69,96,86,82,94,88,91,92,231,96,85,92,98,"2,523",235,221,222,223,219,224,281,225,224,225,224,"5,300",902,"1,358",898,"1,190",952,6,2,2,2,6,45,"20,931"
27-Jun-10,"3,411","3,331","3,166","1,537","1,601",65,80,65,91,69,96,86,82,94,88,91,92,231,96,85,92,98,"2,523",235,221,222,223,219,224,281,225,224,225,224,"5,294",902,"1,357",898,"1,186",951,6,2,2,2,6,45,"20,920"
