date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
10-Dec-11,"3,057","3,084","3,208","1,997","1,478",80,84,83,83,91,80,76,88,92,78,58,64,185,91,87,71,87,"3,715",295,233,224,248,223,224,225,223,284,224,279,278,231,223,301,"4,904",681,"1,322",997,"1,015",889,11,3,4,4,5,14,"21,473"
11-Dec-11,"3,053","3,086","3,204","1,997","1,477",80,84,83,83,91,80,76,88,92,78,58,64,184,91,87,71,87,"3,714",295,233,224,248,222,224,225,223,284,224,279,278,231,223,301,"4,902",681,"1,322",997,"1,015",887,11,3,4,4,5,13,"21,462"
12-Dec-11,"3,061","3,112","3,199","2,011","1,472",80,83,83,83,91,80,76,88,92,77,58,64,183,91,86,70,87,"3,771",295,235,223,248,223,224,281,223,284,222,280,279,231,222,301,"4,842",624,"1,322",997,"1,012",887,11,3,4,4,5,10,"21,494"
13-Dec-11,"3,048","3,100","3,203","2,026","1,476",80,82,83,83,91,80,76,88,92,77,57,64,189,91,86,70,87,"3,834",300,235,224,248,224,224,281,279,284,222,280,278,231,223,301,"4,786",568,"1,321",995,"1,013",889,11,3,4,4,5,12,"21,501"
14-Dec-11,"3,080","3,089","3,206","1,996","1,478",81,82,82,84,90,86,77,87,92,77,57,63,188,91,85,70,86,"3,888",299,235,223,250,279,224,281,280,281,223,280,278,233,223,299,"4,727",510,"1,322",994,"1,013",888,11,3,4,4,5,12,"21,492"
15-Dec-11,"3,055","3,089","3,167","2,036","1,480",84,83,82,84,89,86,72,89,91,78,58,63,188,90,88,69,86,"3,949",299,232,224,250,280,279,281,280,284,224,280,280,233,224,299,"4,677",452,"1,322","1,000","1,016",887,11,3,4,4,5,10,"21,479"
16-Dec-11,"3,052","3,072","3,141","2,046","1,484",82,83,82,84,89,86,76,88,91,78,57,62,190,92,88,69,87,"3,957",299,234,224,249,280,280,280,280,287,225,280,280,233,224,302,"4,662",450,"1,323","1,000","1,003",886,11,3,4,4,5,18,"21,448"
17-Dec-11,"3,049","3,073","3,141","2,046","1,481",82,83,82,84,89,85,76,88,91,78,57,60,190,92,88,69,87,"3,949",297,233,224,248,279,280,279,279,287,225,280,279,233,224,302,"4,660",450,"1,323",999,"1,002",886,11,3,4,4,5,10,"21,425"
18-Dec-11,"3,050","3,073","3,139","2,046","1,482",82,83,82,84,89,86,76,88,92,78,57,59,190,92,88,69,87,"3,946",297,233,224,248,279,280,279,279,287,224,280,278,233,223,302,"4,659",450,"1,322",999,"1,002",886,10,3,3,4,5,13,"21,423"
