date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Sep-03,"5,684","3,052","2,155","2,030","1,456",86,69,96,87,75,71,81,87,89,71,52,54,210,91,87,54,96,"2,580",235,235,234,234,235,233,234,235,235,235,235,"3,462",732,991,745,994,19,6,11,2,6,4,"20,448"
2-Sep-03,"5,698","3,059","2,150","2,027","1,450",86,69,96,88,75,69,81,87,89,71,52,53,209,90,86,54,95,"2,577",234,234,234,235,234,233,234,235,235,234,235,"3,459",731,991,744,993,19,6,11,2,6,7,"20,452"
3-Sep-03,"5,692","3,093","2,152","2,018","1,450",86,69,96,88,74,71,81,87,89,71,51,53,208,90,87,54,95,"2,572",233,234,234,235,234,233,234,235,235,230,235,"3,457",731,988,747,991,19,6,11,2,6,4,"20,463"
4-Sep-03,"5,704","3,102","2,152","2,040","1,449",85,68,96,88,74,71,81,87,89,71,51,54,208,90,87,54,95,"2,568",232,234,233,234,232,232,233,234,235,234,235,"3,448",729,985,743,991,19,6,11,2,6,4,"20,492"
5-Sep-03,"5,690","3,107","2,148","2,013","1,428",83,67,95,86,75,68,81,86,84,68,49,54,212,88,82,52,98,"2,581",237,235,235,235,234,231,235,235,235,234,235,"3,462",728,996,744,994,19,6,11,2,6,32,"20,486"
6-Sep-03,"5,688","3,106","2,147","2,013","1,428",83,67,95,86,75,68,81,86,84,68,49,54,212,88,82,52,98,"2,581",237,235,235,235,234,231,235,235,235,234,235,"3,462",728,996,744,994,19,6,11,2,6,33,"20,483"
7-Sep-03,"5,687","3,102","2,147","2,013","1,428",83,67,95,86,75,68,81,86,84,68,49,54,212,88,82,52,98,"2,579",236,235,235,235,234,231,235,235,235,233,235,"3,462",728,996,744,994,19,6,11,2,6,33,"20,476"
8-Sep-03,"5,699","3,071","2,147","2,008","1,464",86,68,94,88,74,71,79,86,84,70,51,54,224,95,86,54,100,"2,576",235,235,234,235,233,231,235,235,235,233,235,"3,459",730,994,743,992,18,6,10,2,6,4,"20,452"
9-Sep-03,"5,697","3,093","2,168","2,011","1,475",86,68,93,89,74,75,84,86,84,70,51,54,225,95,86,54,101,"2,571",235,235,234,235,232,231,235,234,232,233,235,"3,459",730,992,745,992,18,6,10,2,6,4,"20,502"
10-Sep-03,"5,709","3,083","2,163","2,012","1,495",86,72,93,90,74,75,87,86,87,83,51,54,225,91,85,54,102,"2,573",235,235,235,235,231,231,235,234,233,234,235,"3,458",728,996,741,993,17,6,9,2,6,6,"20,522"
11-Sep-03,"5,697","3,104","2,147","2,022","1,498",86,72,93,94,73,75,87,86,87,83,51,54,225,91,85,54,102,"2,580",235,234,237,235,234,231,235,235,236,233,235,"3,457",727,996,741,993,17,6,9,2,6,5,"20,533"
12-Sep-03,"5,685","3,105","2,103","2,068","1,457",75,72,93,90,72,74,78,88,84,82,50,53,221,87,83,54,101,"2,574",235,234,236,235,231,231,235,234,235,234,234,"3,450",726,995,735,994,17,6,9,2,6,44,"20,509"
13-Sep-03,"5,685","3,104","2,102","2,068","1,456",75,71,93,90,72,74,78,88,84,82,50,53,221,87,83,54,101,"2,573",235,233,236,235,231,231,235,234,235,234,234,"3,448",725,995,735,993,17,6,9,2,6,42,"20,501"
