Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,751","3,233","2,214","2,133","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,"21,211"
24-Apr-03,"5,653","3,131","2,178","2,095","1,302",73,74,74,75,75,75,75,74,75,73,59,60,146,74,74,71,75,"2,574",235,233,234,235,235,233,232,235,235,232,235,"3,374",681,984,718,991,12,6,4,2,6,"20,325"
25-Apr-03,"5,640","3,141","2,120","2,122","1,292",73,70,72,73,74,75,75,75,74,75,59,59,148,72,74,70,74,"2,585",235,235,235,235,235,235,235,235,235,235,235,"3,384",683,995,716,990,12,6,4,2,5,"20,301"
26-Apr-03,"5,641","3,141","2,119","2,122","1,290",73,70,71,73,74,75,75,75,74,75,59,58,148,72,74,70,74,"2,583",234,235,235,235,235,235,235,235,235,234,235,"3,383",683,995,716,989,12,6,4,2,5,"20,296"
27-Apr-03,"5,638","3,140","2,119","2,122","1,289",73,70,71,73,74,75,75,75,74,75,59,58,148,72,74,69,74,"2,581",234,235,234,235,234,235,235,235,235,234,235,"3,383",683,995,716,989,12,6,4,2,5,"20,289"
28-Apr-03,"5,637","3,141","2,114","2,129","1,300",73,74,73,75,75,75,75,73,75,75,59,58,148,73,74,70,75,"2,581",234,235,234,235,234,235,235,235,235,234,235,"3,383",683,995,716,989,12,6,4,2,6,"20,303"
29-Apr-03,"5,639","3,121","2,126","2,126","1,302",74,75,72,75,74,75,74,72,75,74,63,57,150,73,74,70,75,"2,583",235,236,234,235,234,235,234,235,235,235,235,"3,378",682,993,714,989,12,6,4,2,6,"20,293"
30-Apr-03,"5,667","3,118","2,110","2,112","1,306",74,75,73,75,74,75,74,72,75,74,63,57,150,73,74,73,75,"2,579",235,235,234,234,232,235,234,235,235,235,235,"3,379",682,991,715,991,12,6,4,2,6,"20,289"
