date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,680","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,294"
1-May-11,"3,161","3,240","3,167","1,846","1,501",82,69,74,95,79,90,77,83,94,83,79,69,188,91,85,75,88,"3,005",231,224,248,222,224,203,224,284,223,224,224,223,251,"5,100",892,"1,344",967,"1,010",887,7,3,4,0,5,12,"21,044"
2-May-11,"3,150","3,216","3,166","1,843","1,497",81,70,76,94,78,89,73,84,94,83,79,70,187,92,82,75,90,"3,009",235,224,248,224,224,203,224,284,224,223,224,222,250,"5,142",894,"1,356",994,"1,011",887,7,3,4,0,5,10,"21,045"
3-May-11,"3,164","3,215","3,168","1,844","1,498",81,70,76,94,80,89,73,83,95,82,79,72,185,92,82,75,90,"3,012",236,224,247,224,224,203,224,284,225,224,224,223,250,"5,158",901,"1,358",994,"1,018",887,7,3,4,0,5,10,"21,081"
4-May-11,"3,156","3,245","3,165","1,820","1,489",81,70,81,93,79,88,73,82,93,82,71,72,185,92,82,75,90,"3,026",236,224,247,224,224,215,224,284,224,224,224,223,253,"5,158",900,"1,357",995,"1,021",885,7,3,4,0,5,6,"21,077"
5-May-11,"3,163","3,255","3,158","1,814","1,484",81,70,81,92,79,88,71,82,93,82,71,72,185,91,82,75,89,"3,029",236,223,247,224,224,219,224,284,223,224,224,224,253,"5,157",900,"1,356",995,"1,021",885,6,3,3,0,5,2,"21,073"
6-May-11,"3,165","3,198","3,150","1,859","1,475",76,70,86,88,76,84,73,77,91,79,72,72,191,90,81,79,90,"3,025",235,222,241,224,224,219,224,284,224,224,224,223,257,"5,150",897,"1,355",994,"1,021",883,6,3,3,0,5,26,"21,059"
7-May-11,"3,160","3,195","3,145","1,859","1,473",76,70,85,88,76,84,72,77,91,79,72,72,191,90,81,79,90,"3,020",235,222,241,224,224,219,223,284,223,224,224,222,255,"5,148",895,"1,355",994,"1,021",883,6,3,3,0,5,26,"21,037"
8-May-11,"3,160","3,195","3,144","1,859","1,473",76,70,85,88,76,84,72,77,91,79,72,72,191,90,81,79,90,"3,019",235,222,241,224,224,219,223,284,223,224,224,222,254,"5,146",894,"1,355",994,"1,021",882,6,3,3,0,5,25,"21,032"
9-May-11,"3,163","3,176","3,159","1,885","1,492",79,70,86,91,77,87,72,82,91,80,74,72,189,90,81,81,90,"3,017",235,223,240,223,224,219,223,284,223,224,224,223,252,"5,150",897,"1,354",994,"1,020",885,6,3,3,0,5,4,"21,057"
