date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,830",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,237"
18-Jan-18,"3,358","3,399",25,27,"2,627","1,216",760,0,0,56,64,52,0,0,23,17,60,53,78,42,131,10,11,50,10,55,48,0,"4,298",292,288,261,303,336,277,266,272,350,271,278,320,222,271,291,"3,146",0,"1,236",994,0,916,9,4,3,2,29,3,14,5,0,7,"18,894"
19-Jan-18,"3,352","3,396",25,26,"2,613","1,254",735,0,0,54,63,52,0,0,22,17,58,52,71,42,119,8,10,50,10,60,47,0,"4,291",291,287,259,303,329,277,266,270,350,271,280,326,222,269,291,"3,139",0,"1,231",992,0,916,9,4,3,2,27,3,13,6,0,5,"18,867"
20-Jan-18,"3,352","3,396",25,25,"2,612","1,254",734,0,0,54,63,52,0,0,21,17,58,52,71,42,119,8,10,50,10,60,47,0,"4,290",291,287,259,303,329,277,266,270,350,271,280,326,222,268,291,"3,138",0,"1,230",992,0,916,9,4,3,2,27,3,13,6,0,5,"18,862"
21-Jan-18,"3,351","3,396",25,24,"2,609","1,254",734,0,0,54,63,52,0,0,21,17,58,52,71,42,119,8,10,50,10,60,47,0,"4,290",292,287,259,303,330,277,265,270,350,271,280,326,222,268,290,"3,138",0,"1,230",992,0,916,9,4,3,2,27,3,13,6,0,5,"18,857"
22-Jan-18,"3,376","3,258",25,24,"2,635","1,303",758,0,0,61,66,53,0,0,18,18,60,54,80,40,126,8,10,47,10,60,47,0,"4,306",292,287,259,302,329,278,268,275,347,278,280,327,222,270,292,"3,166",0,"1,251","1,000",0,915,9,4,3,2,28,4,13,6,0,5,"18,888"
23-Jan-18,"3,356","3,226",25,23,"2,654","1,305",756,0,0,61,66,53,0,0,17,20,59,53,80,47,125,8,10,43,10,57,47,0,"4,344",291,294,264,303,338,279,269,280,352,276,280,327,220,271,300,"3,171",0,"1,256","1,000",0,915,10,4,4,2,30,4,15,6,0,5,"18,900"
24-Jan-18,"3,371","3,253",25,23,"2,656","1,259",751,0,0,61,66,53,0,0,12,20,59,52,80,46,125,8,13,43,10,57,46,0,"4,324",290,294,264,303,338,276,269,280,352,268,280,326,217,267,300,"3,178",0,"1,255","1,000",0,923,10,4,4,2,30,4,15,6,0,5,"18,880"
25-Jan-18,"3,373","3,282",26,23,"2,662","1,238",759,0,0,61,65,53,0,0,25,20,59,52,80,46,124,8,13,41,10,56,46,0,"4,327",290,294,267,303,338,276,268,279,349,272,279,324,217,272,299,"3,184",0,"1,262",999,0,923,10,4,4,2,30,4,15,6,0,5,"18,914"
26-Jan-18,"3,381","3,295",26,23,"2,669","1,264",741,0,0,60,64,51,0,0,25,20,54,50,81,46,121,8,13,40,9,55,44,0,"4,327",295,294,271,302,335,275,273,278,344,270,279,323,212,279,297,"3,178",0,"1,257",999,0,922,9,4,4,1,28,3,15,5,0,5,"18,941"
