date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution 2,882",SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,,,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
10-Nov-15,"3,276",96,"2,680",27,137,"2,714",98,"1,169","1,134",50,75,48,53,45,53,0,75,71,81,68,62,173,94,80,51,55,"3,628",0,296,273,261,230,280,249,245,293,244,259,274,204,237,283,"3,914",0,"1,113",996,910,895,10,4,5,1,"18,883"
11-Nov-15,"3,272",96,"2,678",27,132,"2,709",96,"1,171","1,133",50,75,48,53,45,53,0,75,71,81,68,62,173,94,80,50,55,"3,622",0,296,273,260,230,280,249,244,293,242,259,274,203,237,282,"3,907",0,"1,112",993,909,893,10,4,5,1,"18,853"
12-Nov-15,"3,274",96,"2,669",27,131,"2,698",99,"1,209","1,113",18,74,51,53,48,53,0,77,70,81,67,65,175,94,80,51,56,"3,636",0,307,273,260,228,280,249,244,302,243,258,276,203,238,275,"3,907",0,"1,113",991,910,893,9,4,4,1,"18,868"
13-Nov-15,"3,263",98,"2,698",27,127,"2,694",96,"1,215","1,081",0,74,47,51,47,48,0,75,69,83,65,64,171,100,83,48,56,"3,636",0,306,274,258,227,280,249,247,304,242,259,278,203,238,271,"3,907",0,"1,114","1,000",903,890,7,3,4,0,"18,849"
14-Nov-15,"3,262",97,"2,696",27,127,"2,694",96,"1,205","1,090",0,74,47,51,47,48,0,75,69,83,65,64,181,100,82,48,56,"3,636",0,306,274,258,227,280,249,247,304,242,259,278,203,238,271,"3,904",0,"1,112","1,000",903,889,7,3,4,0,"18,841"
15-Nov-15,"3,267",94,"2,694",27,121,"2,694",93,"1,215","1,081",0,74,47,51,47,48,0,75,69,83,65,64,171,100,83,48,56,"3,626",0,296,274,258,227,280,249,247,304,242,259,278,203,238,271,"3,902",0,"1,112",999,902,889,7,3,4,0,"18,821"
16-Nov-15,"3,283",95,"2,693",27,120,"2,690",93,"1,198","1,121",0,73,52,54,49,53,0,79,71,88,67,65,178,100,84,51,57,"3,621",0,304,271,259,224,273,250,247,305,239,260,277,201,240,271,"3,902",0,"1,114",999,901,888,9,4,4,1,"18,852"
17-Nov-15,"3,283",95,"2,733",27,120,"2,690",93,"1,217","1,096",0,73,52,54,49,53,0,79,70,77,67,62,178,100,74,51,57,"3,615",0,304,272,259,235,272,249,246,304,238,257,276,199,235,269,"3,899",0,"1,114",999,896,890,9,4,4,1,"18,877"
18-Nov-15,"3,277",90,"2,732",27,118,"2,689",100,"1,212","1,094",0,78,52,52,48,53,0,74,72,75,66,64,179,99,76,50,56,"3,628",0,316,271,257,233,263,249,254,302,238,257,276,213,231,268,"3,909",0,"1,116",999,905,889,13,4,5,4,"18,889"
