date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,256","1,668","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,442"
19-Jan-12,"3,259","3,086","3,144","1,953","1,407",75,79,80,75,82,83,74,82,88,78,49,52,182,89,86,67,86,"4,253",299,293,280,294,277,279,273,275,337,280,279,279,230,278,300,"4,174",0,"1,320",996,975,883,13,6,3,4,0,6,"21,295"
20-Jan-12,"3,244","3,086","3,140","1,981","1,366",75,76,78,67,81,81,72,81,85,73,49,52,176,89,83,65,83,"4,245",299,293,280,293,277,279,273,275,335,280,276,279,230,277,299,"4,172",0,"1,317","1,000",972,883,13,6,3,4,0,47,"21,294"
21-Jan-12,"3,241","3,085","3,141","1,981","1,364",75,75,78,67,80,81,72,81,85,73,49,52,176,89,83,65,83,"4,243",299,293,280,293,277,279,273,275,335,280,275,279,229,277,299,"4,172",0,"1,317","1,000",972,883,13,6,3,4,0,47,"21,287"
22-Jan-12,"3,236","3,081","3,140","1,981","1,362",75,74,78,67,79,81,72,81,85,73,49,52,176,89,83,65,83,"4,242",299,293,280,293,277,279,273,274,335,280,275,279,229,277,299,"4,172",0,"1,317","1,000",972,883,13,6,3,4,0,49,"21,276"
23-Jan-12,"3,231","3,081","3,133","2,019","1,390",74,77,80,72,80,85,74,82,88,78,48,51,177,88,85,67,84,"4,237",298,293,279,292,277,279,272,274,335,280,275,279,228,277,299,"4,165",0,"1,311",999,972,883,13,6,3,4,0,9,"21,278"
24-Jan-12,"3,226","3,081","3,130","2,060","1,387",73,77,80,72,80,85,74,82,85,78,48,50,177,89,85,67,85,"4,228",296,293,278,292,276,278,270,274,335,280,274,279,228,277,298,"4,161",0,"1,309",999,972,881,13,6,3,4,0,8,"21,294"
25-Jan-12,"3,220","3,083","3,125","2,105","1,376",73,76,79,71,79,85,74,82,83,78,48,49,177,88,83,66,85,"4,220",296,293,275,292,276,278,269,274,335,279,274,279,226,277,297,"4,160",0,"1,309",998,972,881,13,6,3,4,0,9,"21,311"
26-Jan-12,"3,213","3,155","3,106","2,080","1,374",73,76,79,74,79,82,74,81,83,78,49,49,177,88,82,65,85,"4,217",296,293,275,290,276,278,270,273,335,279,274,279,225,277,297,"4,156",0,"1,309",998,969,880,13,6,3,4,0,9,"21,323"
27-Jan-12,"3,210","3,159","3,096","2,155","1,312",34,74,80,73,76,78,72,79,93,74,49,47,172,82,81,64,84,"4,208",295,292,274,290,274,277,272,273,335,279,273,279,224,276,295,"4,128",0,"1,310",998,942,878,13,6,3,4,0,33,"21,314"
