date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,680","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,294"
19-May-11,"3,151","3,260","3,172","1,754","1,499",81,75,83,79,81,90,77,85,92,80,80,76,184,92,83,74,87,"3,024",234,224,250,222,224,218,224,284,224,224,222,223,251,"5,150",900,"1,357",994,"1,014",885,8,6,2,0,5,10,"21,033"
20-May-11,"3,150","3,256","3,181","1,760","1,457",76,79,81,77,80,86,72,90,87,77,80,74,177,88,80,70,83,"3,013",233,224,250,220,221,217,219,284,224,223,222,226,250,"5,148",901,"1,357",994,"1,009",887,8,6,2,0,5,57,"21,035"
21-May-11,"3,149","3,255","3,181","1,760","1,453",76,79,81,77,79,85,71,90,87,77,80,73,177,88,80,70,83,"3,009",233,224,249,220,221,217,218,284,223,223,222,225,250,"5,145",901,"1,357",994,"1,009",884,8,6,2,0,5,60,"21,025"
22-May-11,"3,148","3,254","3,179","1,760","1,453",76,79,81,77,79,85,71,90,87,77,80,73,177,88,80,70,83,"3,008",233,223,249,220,221,217,218,284,223,223,222,225,250,"5,145",901,"1,357",994,"1,009",884,8,6,2,0,5,59,"21,019"
23-May-11,"3,153","3,274","3,171","1,765","1,498",80,79,83,76,78,90,77,92,89,80,78,75,182,91,84,78,86,"3,014",232,223,249,220,221,218,221,284,225,224,223,224,250,"5,137",900,"1,353",994,"1,006",884,8,6,2,0,5,6,"21,031"
24-May-11,"3,150","3,299","3,172","1,781","1,496",80,79,86,76,78,90,71,92,89,80,79,72,187,91,84,78,84,"3,014",233,222,249,220,224,219,219,283,225,224,223,224,249,"5,139",902,"1,353",992,"1,008",884,8,6,2,0,5,6,"21,070"
25-May-11,"3,174","3,275","3,171","1,796","1,493",81,79,85,76,77,89,71,92,87,80,79,73,187,90,85,79,83,"3,020",234,222,249,224,224,217,222,283,224,224,224,224,249,"5,151",901,"1,354",992,"1,017",887,8,6,2,0,5,3,"21,096"
26-May-11,"3,184","3,255","3,180","1,800","1,491",82,78,85,76,76,89,71,92,88,80,79,74,188,90,84,79,80,"3,023",234,224,249,224,223,218,223,284,224,224,223,223,250,"5,156",901,"1,355",991,"1,022",887,8,6,2,0,5,3,"21,105"
27-May-11,"3,172","3,217","3,181","1,842","1,503",84,83,84,74,76,89,75,91,88,81,83,74,189,89,84,79,80,"3,023",234,224,249,224,223,219,223,285,223,224,224,223,248,"5,135",900,"1,354","1,000",995,886,12,6,6,0,5,4,"21,094"
