Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
10-Jun-16,"3,397","2,998",32,9,"3,003","1,517","1,153",0,22,72,88,76,0,0,72,18,98,90,86,84,164,30,70,16,99,68,0,"3,407",239,294,237,240,197,200,240,240,260,200,202,201,221,199,237,"3,884",0,"1,091","1,000",902,891,14,5,6,3,"19,414"
11-Jun-16,"3,396","2,999",32,9,"3,002","1,517","1,152",0,22,72,88,76,0,0,72,18,98,90,86,84,164,29,70,16,99,68,0,"3,405",239,294,237,240,197,200,240,240,260,200,202,201,221,198,236,"3,883",0,"1,090","1,000",902,891,14,5,6,3,"19,409"
12-Jun-16,"3,392","2,999",32,9,"3,001","1,517","1,151",0,22,72,88,75,0,0,72,18,98,90,86,84,164,29,70,16,99,68,0,"3,405",239,294,237,240,197,200,240,240,260,200,202,201,221,198,236,"3,883",0,"1,090","1,000",902,891,14,5,6,3,"19,403"
13-Jun-16,"3,388","3,021",31,6,"3,001","1,546","1,171",0,22,73,90,78,0,0,75,18,100,91,88,84,167,32,69,16,100,68,0,"3,404",239,293,236,240,197,200,239,240,260,200,203,201,221,199,236,"3,879",0,"1,090","1,000",901,888,15,6,6,3,"19,462"
14-Jun-16,"3,374","3,000",31,6,"3,001","1,564","1,165",0,22,73,89,78,0,0,74,18,100,91,88,86,167,32,65,16,100,66,0,"3,461",239,294,240,240,197,196,269,269,259,200,203,201,221,197,236,"3,878",0,"1,092","1,000",899,887,15,6,6,3,"19,495"
15-Jun-16,"3,379","3,031",31,6,"3,001","1,560","1,152",0,22,72,88,78,0,0,68,18,100,91,88,86,167,31,61,16,100,66,0,"3,458",239,294,240,240,197,196,268,269,259,199,203,201,221,196,236,"3,884",0,"1,093","1,000",898,893,15,6,6,3,"19,517"
16-Jun-16,"3,366","3,028",31,6,"3,001","1,545","1,152",0,22,72,88,78,0,0,69,17,100,91,88,86,167,30,60,16,102,66,0,"3,511",240,294,240,240,200,200,270,270,259,199,204,239,221,199,236,"3,881",0,"1,092",999,897,893,15,6,6,3,"19,536"
17-Jun-16,"3,361","3,063",33,8,"2,999","1,518","1,110",0,21,68,86,69,0,0,69,17,94,84,86,86,163,28,60,13,100,66,0,"3,500",240,293,238,240,200,200,268,269,257,198,204,239,220,198,236,"3,865",0,"1,089",996,882,898,15,6,6,3,"19,472"
18-Jun-16,"3,361","3,063",33,8,"3,000","1,518","1,108",0,21,68,86,67,0,0,69,17,94,84,86,86,163,28,60,13,100,66,0,"3,500",240,293,238,240,200,200,268,269,257,198,204,239,220,198,236,"3,865",0,"1,089",996,882,898,15,6,6,3,"19,471"
